community_id,size,mean_apc_density,density_z_score,p_value,member_genes,fdr_q
M2,74,0.0585,23.08,3.448894994607049e-118,"AGBL2, AKR1B10, AKR1B15, CD300C, CEP192, CEP295NL, CES1, CFH, CST1, CYP3A43, DEFB123, EOLA2, ETDA, ETDB, FMN2, GSTA1, GSTA2, GSTT2, H2BC17, H2BW1, HBA2, HLA-DQA2, HLA-DQB1, HLA-DQB2, HOPX, IGHG1, IGHG4, ITGAD, KHDC1, LOC124901482, MAN2B2, MOAP1, MRGPRX4, MUC15, OR10A3, OR11G2, OR11H1, OR1A1, OR1S1, OR1S2, OR2AG2, OR2F2, OR2T6, OR4C13, OR4F15, OR4F4, OR4F5, OR4M2, OR52A1, OR52L1, OR5AP2, OR5D3P, OR5K4, OR5L2, OR5M1, OR5M3, OR5T2, OR6N1, OR8B2, OR8B3, OR8U1, OXCT2, PCDHB9, PILRA, RBP1, RPGRIP1, SIRPA, SORCS2, TAAR2, TAFAZZIN, TAS2R20, TAS2R50, TRGV11, TRGV8",1.0346684983821148e-117
M1,108,0.0277,16.31,3.977794976088127e-60,"ABCA8, ABCB5, ACSM5, ANKS1B, ARID1B, BAHCC1, BCL11B, BICRA, C6orf132, CACNA1I, CCDC85C, CHAT, CLDN34, CLEC2D, CLEC2L, CLIP2, COL5A1, CYP2B6, DDX3X, DLGAP1, EIF2S3, EXOC3L2, FAM236A, FLAD1, FMNL2, FOXK1, GSDMC, GSTT2B, H2BC13, H2BC9, H3C11, H3C6, H4C2, H4C5, HCN2, HSPA1A, INSL4, IQGAP2, KDM6B, KRT6A, LOC124900512, LOC124902886, MARCKS, MBD3L4, MNX1, MYH14, MYH6, MYH7, MYO7B, NAIP, NBAS, NCOR2, NOBOX, NOVA2, NPHP4, ONECUT3, OR2AE1, OR4N2, OR51C1P, OR51E1, OR51T1, OR52J3, OR52K2, OR5A1, OR5K2, OR5M11, OR8H2, OR8J3, PKN1, PLXNB3, POU4F1, PRAMEF12, PRAMEF18, PRAMEF5, PRX, PTPRH, RAP1GAP2, RAPH1, RBMY1F, RREB1, RTEL1, SAMD1, SARDH, SCGB1D1, SCLT1, SDK1, SHANK2, SHC2, SHROOM2, SIGLEC11, SLC22A7, SMIM10L2A, SMIM10L2B, SPDYE10, SPDYE15, SPTBN4, SRCIN1, TAF4, TARP, TBL1Y, TERT, TEX11, TEX28, TRDN, TRPM4, TUBA1C, TUBA4B, UGT2B28",5.96669246413219e-60
M3,18,0.0268,2.57,0.005119934769160447,"ACOT6, COA6, COL22A1, DPRX, HLA-DQA1, HS3ST3A1, HSFX3, HSFX4, INF2, NCR1, OR1A2, OR4K5, OR6C3, POU3F3, PRDM16, SHANK1, TBCD, TEX19",0.005119934769160447
