community_id,size,mean_apc_density,density_z_score,p_value,member_genes,fdr_q
M2,74,0.0901,25.78,6.968783724958268e-147,"AGAP4, ANKK1, ARR3, BCO2, BTNL2, C3orf49, CFAP92, CLEC4G, CST1, CYP11B1, CYP11B2, DISC1, DNMT3L, FAM177B, FAM236B, FCGR3B, H2AC11, H2BC18, H2BC3, H2BC7, H2BC8, H3C4, H4C2, H4C6, HSD17B6, KIR2DL3, KRT9, LCN8, LENG9, LOC124900338, MPC1, MRGPRD, MYH15, NLRP8, NSUN5, NUDT16, OAZ3, OR10G6, OR1G1, OR2A4, OR2G3, OR3A2, OR4C15, OR5K2, OR5M11, OR6F1, OR7D2, OR8D1, OR8G1, PIGP, PNPLA5, PRAMEF12, PRXL2B, RBP1, RPRML, SCART1, SERHL2, SLC22A25, SLC22A9, SLX4IP, TAS2R20, TAS2R30, TAS2R31, TAS2R46, TAS2R50, TAS2R9, TBL1Y, TEX44, THAP3, TOMM20L, TPSAB1, TPSB2, TUBA3D, UGT1A6",2.09063511748748e-146
M1,100,0.0507,19.85,5.893705967358563e-88,"A1BG, ABCB5, ACOT2, ACSBG2, ADAM20, ADAR, AKR1C4, ARSF, ARSH, BECN2, BMAL2, C2orf78, CCNP, CDH26, CES5A, CST9L, CT83, CYP2A13, CYP2A6, CYP4F11, DCAF5, ENSG00000283205, FAM240C, FAM90A14, FAM90A3, FBN3, FREM3, FRG2, FRG2B, GSDMC, GSTM1, GSTM2, GSTM5, H4C13, HTR3E, IFNE, IQCF3, KRT37, KRTAP2-3, KRTAP25-1, LAIR2, LOC124903723, LOC124909484, MS4A3, MYL5, NHLRC4, NLRP13, NLRP5, NLRP9, NOX5, NUTM2G, OR1L1, OR2G6, OR2T11, OR2T27, OR2Z1, OR8H1, OR8K5, OVGP1, PCDHGA4, PHF11, PIWIL3, PLA2G4C, PPDPFL, PRAMEF11, PRAMEF15, PRAMEF18, PRAMEF19, PRAMEF20, PRAMEF25, PRAMEF26, PRAMEF27, PRAMEF4, PRAMEF6, PRAMEF7, PRAMEF8, PRAMEF9, RBM23, SCML1, SEBOX, SIRPD, SPDYE10, SPDYE11, SPDYE12, SPDYE13, SPDYE14, SPDYE15, SPDYE17, SPDYE18, SPDYE4, SPDYE8, SPDYE9, SPEGNB, SSU72L2, STH, TAS2R5, TRABD2A, TRIM52, UGT2B17, UGT2B28",8.840558951037844e-88
M3,26,0.0332,3.38,0.00036892872450373443,"AADACL3, ABCC12, BIRC2, C19orf18, C9orf50, CT45A9, FAM217A, FBXO17, GRK4, HEATR9, KCNRG, LBHD1, LGALS9, LRRC63, MGAT4D, MYOC, NSFL1C, NUTM2A, PRAMEF5, PVR, REXO5, SNTG2, TARM1, TAS2R10, TKTL2, TPD52L3",0.00036892872450373443
