community_id,size,mean_apc_density,density_z_score,p_value,member_genes,fdr_q
M1,63,0.0285,15.49,1.9820294465726483e-54,"AHI1, C10orf88, C12orf42, CARD18, CCDC187, CD46, CETP, CROCC2, CST5, CTU1, DNAJC5G, FGFBP1, FPR2, FPR3, FUT4, GBP2, GIMAP5, H2AC17, H2BW1, H2BW2, HBA1, HOPX, IFNL1, IGFL4, IL36A, IRGM, ITLN1, ITLN2, LCN12, LRRC34, NEK4, NXPE1, ODF4, OR10C1, OR10G7, OR10H3, OR11H6, OR12D2, OR2AJ1, OR2J2, OR2T35, OR2V1, OR56B1, OR5B17, OR5B2, OR5M10, OR5T1, OR5T3, OR8K3, OR9G1, PARP10, PNMA6A, PNMA8B, POMK, PRR18, RP9, SAA4, SPEM3, STKLD1, TAS2R60, TTLL2, UGT3A1, USP29",7.928117786290592e-54
M3,37,0.0473,14.9,1.663606913035507e-50,"ACSBG1, ALLC, AMELX, APOBEC3C, C2orf81, CAPN8, CBY3, CPA3, ENSG00000276289, FAM228A, FASTKD1, H2BC10, H2BC12, H3C10, H4C16, KIF25, LTB4R, OR2I1P, OR2T1, OR5L2, OR6F1, OXCT2, PCDHB9, PRPS1L1, RALGDS, RXFP4, SCART1, SH2D7, SLC17A3, SLC35G6, TAS2R16, TAS2R40, TAS2R41, TBL1X, TEX13A, TPSD1, TSPYL6",3.327213826071014e-50
M2,62,0.0194,10.48,5.469060371860094e-26,"ACSM3, ACTL9, ADTRP, ANKRD34C, C8G, CD300C, CDC42EP2, CHD5, CLCN4, CRP, CTXN2, CXCR2, CXorf49B, DNAJB5, DRC12, DUS4L, ENSG00000283599, FMO2, GATAD1, HBA2, HELZ2, IZUMO4, KPRP, KRTAP27-1, LCT, MRGPRX4, MTX1, MVB12A, NAA80, NIBAN3, NR5A2, NXPE2, OAZ3, OLAH, OOSP1, OR12D3, OR13C2, OR13C5, OR1N2, OR1R1P, OR2AT4, OR2W1, OR52N2, OR6C65, OR6Y1, OTUD6B, PDILT, PGLYRP4, RDM1, REG4, RPL12, SAYSD1, SCNN1A, SERPINA10, SIRPA, SLFNL1, SOD2, SOX13, TAS2R46, TBX5, TREH, TXNRD2",7.292080495813458e-26
M4,32,0.0044,1.32,0.0939908425274493,"ACSM1, ACSM2A, ACSM2B, AGR3, AMELY, CELA2A, CYP39A1, F11, FAM240A, GCKR, GPX3, GZMK, IFIT3, IQANK1, LOC124900290, MR1, OR10G2, OR11A1, OR1I1, OR1N1, OR4C11, OR4C5, OR52A5, OR56A5, OR6C2, OR6C75, PGLYRP3, PLA2G2A, SF3A2, TAS2R50, TPTE2, UMOD",0.0939908425274493
