community_id,size,mean_apc_density,density_z_score,p_value,member_genes,fdr_q
M1,179,0.09911400079727173,57.444300565688614,0.0,"ABCB4, ABTB1, ADAMTS6, ADIPOR1, AMIGO1, AMMECR1L, AMPD3, AP1AR (+171 more)",0.0
M2,171,0.10881427675485611,60.1238089540288,0.0,"AFF1, AGAP4, AKAP4, AKR1C8, ALPG, ANKRD34C, ANKRD54, APBB3 (+163 more)",0.0
