community_id,size,mean_apc_density,density_z_score,p_value,member_genes,fdr_q
M3,51,0.0912,16.67,1.083899223075109e-62,"ADM, AHCYL2, ASRGL1, BPIFB3, C7orf33, CADPS, CBLIF, CCDC152, DDOST, ENSG00000224478, ENSG00000295726, ENSG00000301210, FKBP6, FLT1, GCNA, GP9, GRIK5, GTF3A, HMGB1, HSPD1, IMP3, KL, KRTAP9-1, LAMB1, LIAT1, LOC124903406, LOC124903575, LOC124904583, LOC124906252, LRP11, MANEAL, MARK4, MED31, MIR4432HG, MOB1A, OR2A5, OTUD5, PAN3, PDAP1, RAPH1, RPS14, SAP130, SF3A3, SMR3A, SSX2IP, TESMIN, TIMM44, TP53AIP1, TPRX2, TRPM8, TXNDC17",3.2516976692253275e-62
M2,51,0.0759,13.91,2.8511510810681966e-44,"ABCA9, ANO7, BTNL3, C9, CAPN11, CCDC163, CCDC27, CDH26, ELAVL1, FAM133B, FNDC4, GBP2, GSTA3, GSTA5, GYPC, IDI2, IGFL4, KCNU1, KRTAP1-1, KRTAP1-5, LEFTY2, LOC107987236, LOC124900866, LOC124901482, LOC124904588, MAN1B1, MCOLN2, N4BP2L2, OR1R1P, OR2J3, OR51B4, OR5AS1, OR5K4, OR9H1P, PCDHAC1, PM20D1, PRDM9, RXFP2, SEBOX, SLFN13, SP100, SP140L, SPATA31D4, SPRR2G, STH, TAS2R38, TAS2R50, TCERG1L, TEX13D, TMEM271, TMPRSS15",4.276726621602295e-44
M1,98,0.0328,11.87,8.693340582007188e-33,"AIDA, AK9, ALDH1L2, ALOX5AP, APPBP2, ARHGEF12, ATP8A1, BANK1, BST1, BUD31, CAB39L, CADPS2, CCDC92, CEACAM18, CHAT, CNOT10, COLEC10, CPSF4, CSN3, CSTF2, DAZAP2, DGCR2, EIF2S3, ENSG00000286615, ENSG00000304907, ENTPD7, EPG5, FAM13A, FAM81B, FOXD1, FOXL2NB, FRRS1L, GDF10, GLMN, GPATCH3, GRID2, H1-8, HAPSTR2, HCFC1, HEATR1, HEPN1, HIGD1C, IGSF1, IL17D, KATNAL1, KIR3DL3, KLF14, KRT12, KRTAP12-1, KRTAP17-1, KRTAP19-6, LACC1, LETMD1, LNP1, LNX2, LOC124900867, MAP3K2, MAP4K5, MCU, ME3, MED25, MFRP, NAGPA, NFKBIZ, NR2F1, OR4C15, PAIP2, PHACTR2, PHOX2B, PIGN, PLAC1, PLBD2, PLCB4, PMS1, PRR27, PTGIS, PTPN12, RAB14, RAB31, RPAP2, RPL21, S100A13, SGSM3, SLC46A3, SMO, SPRR3, SVOP, SYCP2L, TANC2, TBC1D9B, TGIF1, TRDN, TREML2, TRIM39, TRIM68, UBAP2L, UBE2J1, UBR3",8.693340582007188e-33
