community_id,size,mean_apc_density,density_z_score,p_value,member_genes,fdr_q
M2,24,0.09,42.98,0.0,"ABCG2, ADGRE2, ATAD3B, CDK5RAP2, CPO, GOLGA2, GOLGA6A, GOLGA6C, GOLGA6D, GOLGA6L9, GOLGA8G, GOLGA8S, HBG2, HEY1, NMRK2, NMS, OR1G1, PGC, SCLT1, SRY, ST8SIA6, THAP5, TRPM2, UBASH3A",0.0
M1,25,0.0696,34.71,2.593643528125265e-264,"C7, CEP295, DCAF12L1, GGTA1, GID4, H2AC1, H2AC14, H3C3, H3C4, KATNIP, KRT16, OR10G2, OR10G9, OR2A25, OR4D2, OR4F3, OR4P4, OR56A5, OXT, PCDHB3, PCDHB8, PNP, SLC10A5, SYNM, TBX22",3.8904652921878976e-264
M3,9,0.04,6.94,2.0222793733744037e-12,"AARD, ADGRB1, CEBPG, ERO1B, MMP26, OR10J1, OR51C1P, PPIE, TSTD3",2.0222793733744037e-12
