community_id,size,mean_apc_density,density_z_score,p_value,member_genes,fdr_q
M2,28,0.1148,48.87,0.0,"ARL13A, BAG1, BECN2, BUD13, C4orf51, CASP4, CD300E, ECSCR, ENAM, ENSG00000236543, FAM178B, LCMT1, LCN1, NUTM2A, NUTM2E, NUTM2F, NUTM2G, OVGP1, PCDHGA3, PCDHGA4, PGLYRP3, PNPLA3, RASIP1, REP15, RITA1, SCIMP, SIRPD, TMEM207",0.0
M3,27,0.0213,8.89,2.935579477151156e-19,"APCS, C22orf15, C3orf85, C8orf48, CEP295, DZANK1, EFCAB6, FMO1, FNDC10, FRAT2, GCA, GPX3, LRRIQ3, MRPL21, MYH1, NKX1-1, NUTM2D, ONECUT3, OR2T8, OR4D6, OR51B6, OR56B2P, PNMA8A, PRDM9, PRKAR1B, RADIL, RTP3",4.403369215726734e-19
M1,29,0.0173,7.77,3.85626563302147e-15,"ACSF3, ARMC3, C2CD4D, CD84, ENSG00000278961, FAM193A, FASLG, GIPC3, GPATCH4, HLA-DOB, IGHA2, IL36G, KRTAP2-4, LCE2A, LOC100652777, LOC124903450, MAGI3, MIP, OBP2A, OR10S1, OR14K1, PTPRH, RBP1, RHPN1, RPP40, SAMM50, SMIM34, SPATA3, TUBA3C",3.85626563302147e-15
