community_id,size,mean_apc_density,density_z_score,p_value,member_genes,fdr_q
M2,83,0.0256,7.0,1.2592831879760623e-12,"ACOXL, ACSM6, ADAT3, AHI1, ARGFX, C1GALT1C1L, CARD18, CCDC163, CCDC166, CDKN1C, CST5, CTSL, CTSV, DEPDC4, ENSG00000283599, ENSG00000304062, FNDC4, FPR3, GBP2, GPR148, GYPC, H2AC17, H3C10, HBA1, HBA2, HOPX, IFITM1, INMT, IRGM, ITLN1, ITLN2, KIAA1210, KRTAP1-1, LDHAL6A, LOC128966704, MRGPRX4, MS4A18, ODF4, OR10G7, OR10H3, OR10R2, OR10X1, OR12D2, OR13C2, OR1A1, OR1A2, OR2J1, OR2J2, OR2J3, OR2T35, OR4C13, OR52A1, OR52A5, OR52N1, OR5AK2, OR5AN1, OR5K3, OR5T1, OR6B3, OR6C65, OR8G1, OR8G3P, OR8K3, PCDHB9, PYDC5, PYHIN1, SAA4, SCART1, SIRPA, SP100, SPEM3, SPIN2B, SSX1, SSX2, SSX3, SSX4B, SSX5, TAS2R14, TEX13A, TPSB2, TSPYL6, TTLL2, USP29",2.5185663759521246e-12
M1,117,0.0135,5.4,3.2672153065290705e-08,"AADACL4, ACSM2A, ACSM2B, ADAM18, ANKRD34C, APOBEC3D, ARHGAP40, BTNL3, C9orf57, CCDC187, CCL11, CCL7, CELA2A, CRP, CRYGA, CST2, CYP2F1, DAZ1, DNAJC5G, F11, FAM228A, FAM240A, FASTKD1, FGFBP1, FMN2, FOXR2, GID4, GNG14, GPRIN1, H2BC14, H4C16, HHIPL2, HHLA2, HLA-DRB1, HLA-DRB5, IL36A, IQANK1, ITPRIPL1, IZUMO4, KIR2DL3, KIR3DL3, KPRP, KRT83, LOC107984732, LOC112267855, LOC124900290, LOC124901141, MPO, MR1, MST1, NEK4, NICOL1, NWD1, NXPE1, NXPE2, NXPE4, OOSP1, OOSP4A, OR10S1, OR11A1, OR11H12, OR11H6, OR14J1, OR1J4, OR1N1, OR1N2, OR1R1P, OR2A1, OR2A14, OR2A42, OR2AP1, OR2B6, OR2I1P, OR2T1, OR2T6, OR2V1, OR2W1, OR3A1, OR4B1, OR4C11, OR4E1, OR4X1, OR56A4, OR56B1, OR5V1, OR6Y1, OR9G1, OXCT2, P2RY13, PARP10, PGLYRP4, PRPS1L1, PRR18, PRTN3, RALGDS, RDM1, RP9, RPGRIP1, SCNN1A, SEMA5B, SH2D7, SLC17A3, SLC35G6, SLURP2, SNTG2, SPATA31D1, SPATA31D3, SPATA31D4, SSTR4, SSX2B, STKLD1, SULT1C3, TAFAZZIN, TAS2R41, TAS2R60, TRIM66, UMOD",3.2672153065290705e-08
