community_id,size,mean_apc_density,density_z_score,p_value,member_genes,fdr_q
M2,78,0.0732,16.23,1.48211595477322e-59,"ACSM6, AKR1C8, APOBEC3C, APOBEC3D, APOBR, ARMCX6, C1GALT1C1L, C1orf202, CD300LD, CD33, CMTM2, CT47C1, CX3CL1, CYP3A43, CYP3A5, DNAI4, ELOA2, ETDA, ETDB, GATD3, GBP2, H2AC12, H3C4, HBA1, HBA2, HCAR3, HSFX3, HSFX4, IFI16, IGLL5, IQANK1, KHDC1, KLLN, KLRC1, KLRC2, KLRC3, LOC124900866, LOC124901481, LOC124904588, LOC124909484, MAGEE1, MICA, MS4A18, OR1D2, OR1J1, OR1N2, OR2F2, OR2V2, OR4C3, OR4K2, OR52A5, OR52H1, OR5D13, OR5P2, OR5T1, OR5V1, OR6C3, OR6N1, OR8B3, OR8D1, OR8U1, OR9Q2, OXCT2, PCDHGB3, PDE4DIP, PLA2G4C, PNMA6F, PRAC2, PYHIN1, RESP18, SAA1, SELPLG, STH, TEX19, TEX28, TEX54, TMPRSS15, TPRX2",4.44634786431966e-59
M1,97,0.0459,12.86,4.0081596789762027e-38,"ACOT2, APOBEC3B, ARHGAP27, ARID1B, BAHCC1, BTN3A3, CACNA1A, CFAP251, CFHR1, CGAS, CHST5, COL4A2, CR1, CTAG2, D2HGDH, DCAF5, DDX3X, DDX3Y, EIF1AX, EIF1AY, EIF2S3, EOLA1, EOLA2, FAM90A10, FCAR, FMN2, FMNL2, FOXK1, FZD8, GP6, H2AC6, H2BC13, H2BC4, H2BC6, H3C8, H4C13, H4C3, H4C6, H4C8, HEATR5B, HEPN1, HSPA1A, HSPA1B, IQCF1, IQSEC1, KDM4D, KDM6A, KRT85, LCE2A, LCMT1, LOC124903972, LRRC27, MAGED2, MCOLN2, MOV10L1, MRGPRD, NAPSA, NUTM2A, NUTM2E, NUTM2F, OR10A4, OR10G3, OR11H7, OR13C3, OR1B1, OR1M1, OR2T1, OR4M2, OR4M2B, OR51A7, OR52K2, OR5A1, OR7D2, OR8K5, OR8U3, PDPR, PLEKHG2, PRAMEF20, PRAMEF27, PRAMEF6, PRAMEF9, PTPRC, PTPRN2, PXDN, RGPD8, RHOXF1, RNF224, SDK1, SH3TC1, SHROOM2, SIK3, SSX2B, SSX4, TBL1Y, TRAV1-2, TRDN, TUBB2A",6.012239518464304e-38
M3,25,0.1168,8.11,2.4310026542358266e-16,"ACOT6, CCL4, CD1C, DHRS12, DMBT1, GSTA1, H2BC9, H3C2, H3C7, H4C7, IFITM10, KRT38, OR11H12, OR4Q3, OR51Q1, OR5AP2, OR5K4, OR8B8, OR8D2, PDE9A, PILRA, PNMA3, PRDM9, RBP1, SLC22A25",2.4310026542358266e-16
