pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Thromboxane Signaling Thru TP Receptor R-HSA-428930,Reactome,3,23,7.84,1.7,2.65,0.004043058689348865,"GNB2, GNG12, GNG5",0.06341826344150077
Signal Amplification R-HSA-392518,Reactome,3,32,5.64,1.08,2.62,0.0044219945288408715,"GNB2, GNG12, GNG5",0.06662262125008672
G-protein Beta:Gamma Signaling R-HSA-397795,Reactome,3,31,5.82,1.14,2.61,0.004543033008424904,"GNB2, GNG12, GNG5",0.06662262125008672
TRP Channels R-HSA-3295583,Reactome,3,25,7.22,1.57,2.6,0.00461140183516083,"MCOLN3, TRPC4, TRPV6",0.06662262125008672
Dopaminergic synapse,KEGG,8,128,3.76,2.09,2.58,0.004939486384694412,"CALY, GNB2, GNG12, GNG5, KCNJ5, PPP2CA, PPP2R2D, PRKCA",0.06938231674491264
Beta-catenin Independent WNT Signaling R-HSA-3858494,Reactome,8,133,3.62,1.96,2.57,0.005055177904911668,"GNB2, GNG12, GNG5, MOV10, PRKCA, PSMC2, PSMC5, SEM1",0.06938231674491264
"Adrenaline,noradrenaline Inhibits Insulin Secretion R-HSA-400042",Reactome,3,27,6.68,1.52,2.51,0.006067634755556576,"GNB2, GNG12, GNG5",0.08124710928781854
Acetylcholine Neurotransmitter Release Cycle R-HSA-264642,Reactome,2,16,7.52,1.06,2.34,0.00953837458187991,"PPFIA1, STXBP1",0.12468018203457311
Serotonin Neurotransmitter Release Cycle R-HSA-181429,Reactome,2,17,7.08,1.0,2.31,0.01044046589626548,"PPFIA1, STXBP1",0.13026854038749427
Norepinephrine Neurotransmitter Release Cycle R-HSA-181430,Reactome,2,17,7.08,1.0,2.31,0.01044046589626548,"PPFIA1, STXBP1",0.13026854038749427
Signaling By Hippo R-HSA-2028269,Reactome,2,15,8.02,1.24,2.27,0.01174811188426645,"LATS2, TJP1",0.1433269649880507
Thrombin Signaling Thru Proteinase Activated Receptors (PARs) R-HSA-456926,Reactome,3,31,5.82,1.59,2.21,0.013549979830044048,"GNB2, GNG12, GNG5",0.16056592333914094
Tight junction,KEGG,9,162,3.34,2.65,2.2,0.013746080868742483,"CD1C, CLDN9, PPP2CA, PPP2R2D, RAPGEF2, RDX, TIAM1, TJP1, TUBAL3",0.16056592333914094
Stabilization Of P53 R-HSA-69541,Reactome,4,54,4.45,1.68,2.14,0.016286870099559543,"MDM4, PSMC2, PSMC5, SEM1",0.18628107676371228
Oncogene Induced Senescence R-HSA-2559585,Reactome,3,31,5.82,1.86,2.05,0.020300537033103278,"MDM4, MOV10, TFDP1",0.22615330343949241
Chaperonin-mediated Protein Folding R-HSA-390466,Reactome,5,85,3.54,1.65,2.04,0.020596840021811696,"CCT5, GNB2, GNG12, GNG5, TUBAL3",0.22615330343949241
Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393,Reactome,6,104,3.47,2.05,2.03,0.021258278657848493,"SLC12A7, SLC15A1, SLC15A4, SLC17A8, SLC4A3, SLC5A8",0.22837582454691419
Mitotic Prophase R-HSA-68875,Reactome,6,107,3.37,1.95,2.02,0.021631225640144875,"GOLGA2, H2AX, H3-4, PPP2CA, PPP2R2D, PRKCA",0.22837582454691419
Laminin Interactions R-HSA-3000157,Reactome,2,18,6.68,1.25,1.98,0.023721019348270506,"COL18A1, NID2",0.24516701886515624
Opioid Signaling R-HSA-111885,Reactome,5,86,3.5,1.73,1.98,0.02411478874083504,"GNB2, GNG12, GNG5, PPP2CA, PRKCA",0.24516701886515624
Morphine addiction,KEGG,6,89,4.05,3.01,1.93,0.027055428092138303,"GNB2, GNG12, GNG5, KCNJ5, PDE8A, PRKCA",0.2587625462660403
ER-Phagosome Pathway R-HSA-1236974,Reactome,5,79,3.81,2.15,1.92,0.027524510158867973,"PSMC2, PSMC5, SEC14L2, SEC22B, SEM1",0.2587625462660403
Protein Folding R-HSA-391251,Reactome,5,91,3.3,1.66,1.9,0.028416417992344675,"CCT5, GNB2, GNG12, GNG5, TUBAL3",0.2587625462660403
