pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
PRC2 Methylates Histones And DNA R-HSA-212300,Reactome,6,40,9.02,2.57,3.74,9.29657557773407e-05,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.0011517424187970542
Condensation Of Prophase Chromosomes R-HSA-2299718,Reactome,6,41,8.8,2.53,3.7,0.00010585148496698856,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.0012423621656651816
Defective Pyroptosis R-HSA-9710421,Reactome,6,40,9.02,2.69,3.65,0.00012996172987324146,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.0014490732880866422
Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,Reactome,6,49,7.36,2.18,3.55,0.00019218637594264272,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.002004147296510258
HDACs Deacetylate Histones R-HSA-3214815,Reactome,8,59,8.15,3.52,3.54,0.00019771856736872502,"H2AC1, H2AC11, H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.002004147296510258
Alcoholism,KEGG,17,177,5.78,5.28,3.49,0.00024383854945880538,"H2AB3, H2AC1, H2AC11, H2AC13, H2AC14, H2AC17, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17, H2BC6, H2BC7, H3C3, H3C4, H4C11, H4C9",0.002283190741232426
Diseases Of Programmed Cell Death R-HSA-9645723,Reactome,7,68,6.19,2.14,3.49,0.00024572456407882614,"GOLGA2, H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.002283190741232426
Meiotic Recombination R-HSA-912446,Reactome,6,51,7.08,2.29,3.37,0.0003694022323576452,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.003205433766029394
Meiotic Synapsis R-HSA-1221632,Reactome,6,55,6.56,2.08,3.36,0.0003881018461111822,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.003205433766029394
B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924,Reactome,6,55,6.56,2.08,3.36,0.0003881018461111822,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.003205433766029394
RNA Polymerase I Promoter Escape R-HSA-73772,Reactome,6,56,6.44,2.08,3.32,0.0004516529685736343,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.0035970932854257304
Metalloprotease DUBs R-HSA-5689901,Reactome,4,29,8.3,1.77,3.3,0.0004883511829227552,"H2AC1, H2AC11, H2AC14, H2AC7",0.003755252199716359
RHO GTPases Activate PKNs R-HSA-5625740,Reactome,6,54,6.68,2.29,3.24,0.0005941319498916637,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.004218662615641511
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,Reactome,6,58,6.22,2.08,3.24,0.0006023152246933155,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.004218662615641511
HCMV Late Events R-HSA-9610379,Reactome,8,80,6.01,2.79,3.24,0.0006053686264597684,"H2AC1, H2AC11, H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.004218662615641511
HCMV Early Events R-HSA-9609690,Reactome,8,92,5.23,2.45,3.12,0.0009093988956032388,"H2AC1, H2AC11, H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.005944851415464608
Amyloid Fiber Formation R-HSA-977225,Reactome,7,71,5.93,2.52,3.11,0.0009220693924023585,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17, IAPP",0.005944851415464608
Pre-NOTCH Transcription And Translation R-HSA-1912408,Reactome,6,60,6.01,2.14,3.11,0.0009330484284361492,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.005944851415464608
ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,Reactome,6,43,8.39,3.5,3.05,0.0011289982567083134,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.006993516979054275
Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,Reactome,6,56,6.44,2.49,3.03,0.00121534871134313,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.0073249395305275125
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,Reactome,6,59,6.12,2.54,2.89,0.001901549368742079,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.011159092348144306
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,Reactome,6,56,6.44,2.8,2.86,0.002118882466070219,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.012115661280350227
Necroptosis,KEGG,9,135,4.01,2.22,2.84,0.002250817071708067,"H2AB3, H2AC1, H2AC11, H2AC13, H2AC14, H2AC17, H2AC7, PLA2G4C, TNFRSF10A",0.012548305174772473
NoRC Negatively Regulates rRNA Expression R-HSA-427413,Reactome,6,71,5.08,2.08,2.79,0.002650647963332143,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.014416938922513852
HCMV Infection R-HSA-9609646,Reactome,8,108,4.45,2.45,2.75,0.0029678986133089484,"H2AC1, H2AC11, H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.01575812835161656
Negative Epigenetic Regulation Of rRNA Expression R-HSA-5250941,Reactome,6,74,4.88,2.08,2.7,0.003469456697006188,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.01799276380075302
Pre-NOTCH Expression And Processing R-HSA-1912422,Reactome,6,76,4.75,2.08,2.64,0.004103556140718496,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.020797568622277832
Base Excision Repair R-HSA-73884,Reactome,6,69,5.23,2.43,2.63,0.004231385637904415,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.02096886660561521
HATs Acetylate Histones R-HSA-3214847,Reactome,8,97,4.96,3.36,2.56,0.005282748401865347,"H2AC1, H2AC11, H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.025090708870761733
Calcitonin-like Ligand Receptors R-HSA-419812,Reactome,2,10,12.03,1.67,2.55,0.005391094602649763,"IAPP, RAMP3",0.025090708870761733
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,Reactome,6,76,4.75,2.23,2.55,0.005400690698639297,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.025090708870761733
Meiosis R-HSA-1500620,Reactome,6,80,4.51,2.08,2.54,0.005600218867576849,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.02548671035652321
Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913,Reactome,6,70,5.15,2.68,2.48,0.006537256766713482,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.02915616517954213
Mitotic Prophase R-HSA-68875,Reactome,7,107,3.93,2.14,2.45,0.007220147561894209,"GOLGA2, H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.03157044914318448
RNA Polymerase I Promoter Clearance R-HSA-73854,Reactome,6,75,4.81,2.5,2.44,0.007421293903734309,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.031825933471783675
Dectin-2 Family R-HSA-5621480,Reactome,2,14,8.59,1.2,2.42,0.007839744226260286,"CLEC4C, MUC15",0.032986093631246105
RNA Polymerase I Transcription R-HSA-73864,Reactome,6,76,4.75,2.55,2.39,0.008521072461554627,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.03518887331345707
RMTs Methylate Histone Arginines R-HSA-3214858,Reactome,4,47,5.12,1.71,2.37,0.008778710972389433,"H2AC1, H2AC11, H2AC14, H2AC7",0.03559368266986988
Nonhomologous End-Joining (NHEJ) R-HSA-5693571,Reactome,4,44,5.47,1.95,2.34,0.009693896363490743,"H2BC11, H2BC12, H2BC13, H2BC17",0.038533514108722106
Oxidative Stress Induced Senescence R-HSA-2559580,Reactome,6,88,4.1,2.09,2.33,0.009849373561422244,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.038533514108722106
Drug ADME R-HSA-9748784,Reactome,6,81,4.45,2.45,2.31,0.010392632666922834,"ABCG2, GLYAT, GSTA1, GSTA2, UGT2A2, UGT2A3",0.03995788077109986
Transcriptional Regulation By Small RNAs R-HSA-5578749,Reactome,6,72,5.01,3.07,2.27,0.011682478462879073,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.04415580842749209
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236,Reactome,6,92,3.92,2.08,2.25,0.012132339202854385,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.04509186070394213
Heme Degradation R-HSA-189483,Reactome,2,16,7.52,1.38,2.06,0.019898467865161317,"ABCG2, GSTA1",0.07246756511175667
Reproduction R-HSA-1474165,Reactome,6,102,3.54,2.08,2.05,0.020147932901026518,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.07246756511175667
Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome,6,106,3.4,2.08,1.98,0.024036068262179286,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.08508005115025366
Ub-specific Processing Proteases R-HSA-5689880,Reactome,8,157,3.06,2.45,1.96,0.02504465986757233,"H2AC1, H2AC11, H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.08702987956972585
Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565,Reactome,4,55,4.37,1.95,1.95,0.025367453686242963,"H2BC11, H2BC12, H2BC13, H2BC17",0.08702987956972585
Activation Of HOX Genes During Differentiation R-HSA-5619507,Reactome,6,83,4.35,3.37,1.93,0.026765699887955966,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.09043562234869972
DNA Double Strand Break Response R-HSA-5693606,Reactome,4,56,4.3,1.95,1.92,0.027189530798600994,"H2BC11, H2BC12, H2BC13, H2BC17",0.09049649803116451
Pentose and glucuronate interconversions,KEGG,3,26,6.94,2.92,1.86,0.031684234520829406,"AKR1B10, UGT2A2, UGT2A3",0.10390565144330821
E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654,Reactome,4,48,5.01,2.86,1.81,0.03552755127023105,"H2BC11, H2BC12, H2BC13, H2BC17",0.1129084749583576
Telomere Maintenance R-HSA-157579,Reactome,6,86,4.2,3.66,1.8,0.035918585388807635,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.1129084749583576
Gene Silencing By RNA R-HSA-211000,Reactome,6,103,3.5,2.66,1.8,0.03619240399468634,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.1129084749583576
