pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Cleavage Of Damaged Purine R-HSA-110331,Reactome,4,35,6.87,2.13,2.64,0.0040971338475169665,"H2BC11, H2BC13, H2BC17, H2BC9",0.06182947442616513
Cytosolic Iron-Sulfur Cluster Assembly R-HSA-2564830,Reactome,2,12,10.02,1.32,2.56,0.005271257129305273,"BRIP1, RTEL1",0.07608945073605873
G2/M DNA Damage Checkpoint R-HSA-69473,Reactome,5,65,4.63,1.77,2.5,0.006179340260759671,"BRIP1, H2BC11, H2BC13, H2BC17, H2BC9",0.08226833766936226
Biological Oxidations R-HSA-211859,Reactome,12,198,3.64,3.37,2.5,0.006194904944982098,"ACSM5, AHRR, CES1, CYP2B6, CYP2C19, CYP3A43, GSTA1, GSTA2, GSTT2, GSTT2B, SULT1A1, UGT2B28",0.08226833766936226
SIRT1 Negatively Regulates rRNA Expression R-HSA-427359,Reactome,4,35,6.87,2.46,2.46,0.006935449740408335,"H2BC11, H2BC13, H2BC17, H2BC9",0.08856035822367567
Nonhomologous End-Joining (NHEJ) R-HSA-5693571,Reactome,4,44,5.47,1.89,2.37,0.008789782238523829,"H2BC11, H2BC13, H2BC17, H2BC9",0.10522451921325365
Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,Reactome,3,26,6.94,1.81,2.36,0.00913908695548628,"TUBA1A, TUBA1C, TUBA4B",0.10522451921325365
Cleavage Of Damaged Pyrimidine R-HSA-110329,Reactome,4,40,6.01,2.22,2.35,0.009308383108701423,"H2BC11, H2BC13, H2BC17, H2BC9",0.10522451921325365
RNA Polymerase I Promoter Opening R-HSA-73728,Reactome,4,30,8.02,3.34,2.35,0.009508239687944607,"H2BC11, H2BC13, H2BC17, H2BC9",0.10522451921325365
Phase II - Conjugation Of Compounds R-HSA-156580,Reactome,7,97,4.34,2.82,2.32,0.01016971166798895,"ACSM5, GSTA1, GSTA2, GSTT2, GSTT2B, SULT1A1, UGT2B28",0.10660549536675543
Inhibition Of DNA Recombination At Telomere R-HSA-9670095,Reactome,4,45,5.35,1.93,2.31,0.010373654919370192,"H2BC11, H2BC13, H2BC17, H2BC9",0.10660549536675543
"Base-Excision Repair, AP Site Formation R-HSA-73929",Reactome,4,42,5.73,2.16,2.3,0.010596329358743762,"H2BC11, H2BC13, H2BC17, H2BC9",0.10660549536675543
Processing Of DNA Double-Strand Break Ends R-HSA-5693607,Reactome,5,73,4.12,1.77,2.27,0.011620773227733966,"BRIP1, H2BC11, H2BC13, H2BC17, H2BC9",0.10848287048185228
DNA Methylation R-HSA-5334118,Reactome,4,32,7.52,3.28,2.27,0.011683736979345383,"H2BC11, H2BC13, H2BC17, H2BC9",0.10848287048185228
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome,6,86,4.2,2.33,2.26,0.012018095734214949,"CD300C, CLEC2D, NCR1, PILRA, SIGLEC11, TARP",0.10848287048185228
Graft-versus-host disease,KEGG,3,25,7.22,2.11,2.24,0.012427644625315152,"HLA-DQA1, HLA-DQA2, HLA-DQB1",0.10848287048185228
Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,Reactome,4,36,6.68,2.87,2.23,0.012731805742895792,"H2BC11, H2BC13, H2BC17, H2BC9",0.10848287048185228
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,Reactome,5,56,5.37,2.8,2.23,0.012743469725277828,"H2BC11, H2BC13, H2BC17, H2BC9, TERT",0.10848287048185228
Allograft rejection,KEGG,3,27,6.68,1.95,2.21,0.013554192909517343,"HLA-DQA1, HLA-DQA2, HLA-DQB1",0.1103225267256503
Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958,Reactome,3,31,5.82,1.6,2.21,0.013624167457083319,"TUBA1A, TUBA1C, TUBA4B",0.1103225267256503
PRC2 Methylates Histones And DNA R-HSA-212300,Reactome,4,40,6.01,2.57,2.19,0.01421189061878994,"H2BC11, H2BC13, H2BC17, H2BC9",0.11218452382957843
Autoimmune thyroid disease,KEGG,3,29,6.22,1.81,2.18,0.014529923267083954,"HLA-DQA1, HLA-DQA2, HLA-DQB1",0.11218452382957843
Condensation Of Prophase Chromosomes R-HSA-2299718,Reactome,4,41,5.87,2.53,2.17,0.015121973694565437,"H2BC11, H2BC13, H2BC17, H2BC9",0.113467672474774
Hepatocellular carcinoma,KEGG,8,145,3.32,2.36,2.16,0.015379654401701295,"ARID1B, FZD8, GSTA1, GSTA2, GSTT2, GSTT2B, SHC2, TERT",0.113467672474774
Defective Pyroptosis R-HSA-9710421,Reactome,4,40,6.01,2.69,2.14,0.016117830830853188,"H2BC11, H2BC13, H2BC17, H2BC9",0.1163286920835491
Neurexins And Neuroligins R-HSA-6794361,Reactome,4,57,4.22,1.62,2.08,0.018669845457619447,"DLGAP1, NRXN3, SHANK1, SHANK2",0.13188061046658844
