pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,Reactome,14,403,2.09,5.95,1.1,0.13561888375024755,"CAMK2A, DERL2, DUSP6, ERLIN2, FGF9, HDAC3, MLST8, POLR2C, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6, QKI",0.3683975648141053
Influenza Infection R-HSA-168255,Reactome,7,148,2.84,5.69,1.09,0.13698301911831917,"CLTA, FAU, POLR2C, RPL13A, RPL15, RPS10, RSL24D1",0.3691409153319428
Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202,Reactome,5,125,2.41,2.43,1.09,0.13768888191151962,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.3691409153319428
Membrane Trafficking R-HSA-199991,Reactome,18,546,1.98,6.95,1.09,0.1381242703724097,"ARPC2, BET1L, CHMP2A, CLTA, COPS6, GJB2, GJD2, MCFD2, NAA38, PAFAH1B1, PRKAB1, PRKAG1, RAB27A, RAB39A, RAB5C, SNF8, TRAPPC4, TRAPPC6B",0.3691409153319428
HIV Infection R-HSA-162906,Reactome,8,208,2.31,4.12,1.09,0.13859686381510672,"CHMP2A, POLR2C, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6, TAF13",0.3691409153319428
Protein processing in endoplasmic reticulum,KEGG,6,163,2.21,2.57,1.07,0.1420939173695791,"DERL1, DERL2, EIF2S1, HSPA5, SAR1A, TUSC3",0.3745840151966534
Respiratory Electron Transport R-HSA-611105,Reactome,4,85,2.83,2.75,1.07,0.14227278302142693,"COX20, NDUFA6, NDUFS6, UQCRH",0.3745840151966534
Selenoamino Acid Metabolism R-HSA-2408522,Reactome,5,108,2.78,3.65,1.07,0.14269867245586798,"FAU, RPL13A, RPL15, RPS10, RSL24D1",0.3745840151966534
Post NMDA Receptor Activation Events R-HSA-438064,Reactome,3,60,3.01,2.05,1.06,0.1441836546046777,"CAMK2A, PRKAB1, PRKAG1",0.37667117423040203
GABA Receptor Activation R-HSA-977443,Reactome,3,58,3.11,2.24,1.06,0.1455703902545652,"GABRA1, GNAI1, KCNJ10",0.3784830146618695
Synaptic vesicle cycle,KEGG,4,77,3.12,3.57,1.05,0.14683458699970398,"ATP6V0E2, ATP6V1D, ATP6V1G1, CLTA",0.379960590056106
PI3K/AKT/mTOR  Signaling,Hallmark,4,103,2.34,1.78,1.03,0.15045105383027724,"CDK2, PFN1, PRKAG1, RALB",0.38435412272654457
Lysosome Vesicle Biogenesis R-HSA-432720,Reactome,2,31,3.88,1.79,1.03,0.15046100146632896,"CHMP2A, CLTA",0.38435412272654457
Metabolism Of Fat-Soluble Vitamins R-HSA-6806667,Reactome,2,40,3.01,1.0,1.03,0.15064428985985445,"C1D, CLPS",0.38435412272654457
Endocytosis,KEGG,7,211,2.0,2.49,1.03,0.15178000945689546,"ARPC2, CHMP1A, CHMP2A, CLTA, RAB5C, RNF41, SNF8",0.3854506286672787
