pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Keratinization R-HSA-6805567,Reactome,3,107,1.69,8.25,0.19,0.4245009342210687,"CAPN1, KRT33A, KRT38",0.6518331601038294
Vascular smooth muscle contraction,KEGG,3,131,1.38,1.4,0.19,0.4260144306613261,"ITPR1, MYLK3, PRKCA",0.6518331601038294
Immune System R-HSA-168256,Reactome,32,1760,1.09,6.13,0.18,0.4289241405112205,"ABI2, ASB2, ATP6V1G3, CAPN1, CAPZB, CD300LF, CPPED1, CXADR, CXCR1, DUSP3, ELMO1, IL4, IQGAP2, ITPR1, KPNA1, LRSAM1, MEF2A, MYH2, NCF2, OLFM4, PPIE, PRKCA, PTPN11, RHOF, SEC61A2, SEC61B, SLA2, SPTAN1, STAT3, STAT5B, SUGT1, TIFA",0.6518331601038294
Apelin signaling pathway,KEGG,3,131,1.38,1.53,0.18,0.4291645730362007,"ITPR1, MEF2A, MYLK3",0.6518331601038294
Dopaminergic synapse,KEGG,3,128,1.41,2.09,0.18,0.4291658872640534,"ITPR1, KCNJ6, PRKCA",0.6518331601038294
Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,Reactome,2,77,1.56,1.28,0.17,0.4312589915765167,"BTC, PTPN11",0.6518331601038294
Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,Reactome,4,178,1.35,3.4,0.17,0.43145103689721337,"GABRB2, KCNJ6, PRKCA, RASGRF1",0.6518331601038294
Lipid and atherosclerosis,KEGG,4,189,1.27,1.41,0.17,0.4315265259935903,"ITPR1, NCF2, PRKCA, STAT3",0.6518331601038294
Cushing syndrome,KEGG,3,130,1.39,2.04,0.16,0.4351090541448641,"CRHR2, CYP11A1, ITPR1",0.6518331601038294
Chronic myeloid leukemia,KEGG,2,76,1.58,1.71,0.16,0.4353911852452904,"PTPN11, STAT5B",0.6518331601038294
Chemical carcinogenesis,KEGG,5,236,1.27,4.0,0.15,0.44128248163883294,"CDC25A, KPNA1, PRKCA, STAT3, STAT5B",0.6518331601038294
Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,Reactome,2,79,1.52,1.26,0.15,0.4417282755677856,"PRKCA, RAB8A",0.6518331601038294
Transcriptional Regulation Of White Adipocyte Differentiation R-HSA-381340,Reactome,2,80,1.5,1.06,0.14,0.44245957532871283,"MED28, NCOR1",0.6518331601038294
Mitotic Spindle,Hallmark,4,186,1.29,2.66,0.14,0.44276221579170927,"ANLN, CAPZB, RHOF, SPTAN1",0.6518331601038294
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,Reactome,2,76,1.58,2.23,0.14,0.4434705584701344,"H2BC5, STAT3",0.6518331601038294
Signaling By Insulin Receptor R-HSA-74752,Reactome,2,77,1.56,2.03,0.14,0.4452840343683113,"ATP6V1G3, PTPN11",0.6518331601038294
Pathogenic Escherichia coli infection,KEGG,4,187,1.29,3.0,0.13,0.44841032285803734,"CLDN22, PTPN11, RAB1A, TUBA1B",0.6518331601038294
HIV Life Cycle R-HSA-162587,Reactome,3,130,1.39,3.51,0.12,0.45050920775274905,"CHMP4C, ELOA, KPNA1",0.6518331601038294
Cardiac muscle contraction,KEGG,2,77,1.56,2.52,0.12,0.4508234679880535,"CACNA2D3, MYH7",0.6518331601038294
