pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
HIV Life Cycle R-HSA-162587,Reactome,2,130,0.93,3.51,-0.06,0.5236858736350983,"CXCR4, MVB12A",0.7231684124298724
G2-M Checkpoint,Hallmark,3,190,0.95,2.3,-0.06,0.5239063913546563,"H2BC12, ODC1, SNRPD1",0.7231684124298724
Neddylation R-HSA-8951664,Reactome,4,226,1.06,4.7,-0.06,0.5248542607206051,"COPS7A, PSMB7, RBBP5, UBD",0.7231684124298724
Potassium Channels R-HSA-1296071,Reactome,2,100,1.2,4.02,-0.06,0.5253833781834035,"KCNJ2, UBD",0.7231684124298724
MAPK signaling pathway,KEGG,5,288,1.04,3.71,-0.07,0.5278198225688844,"CRK, FGFR4, IL1R1, LAMTOR3, PAK2",0.7231684124298724
Calcium signaling pathway,KEGG,4,226,1.06,3.72,-0.07,0.5279265785403776,"CXCR4, EDNRB, FGFR4, MST1",0.7231684124298724
Organelle Biogenesis And Maintenance R-HSA-1852241,Reactome,4,258,0.93,4.12,-0.07,0.5279659807558462,"AHI1, DMAC2L, HELZ2, TRIP11",0.7231684124298724
MHC Class II Antigen Presentation R-HSA-2132295,Reactome,2,98,1.23,2.01,-0.07,0.5288865821491177,"CTSS, CTSV",0.7231684124298724
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,Reactome,2,103,1.17,4.87,-0.07,0.5297032619229471,"MRPL13, RPL12",0.7231684124298724
ABC-family Proteins Mediated Transport R-HSA-382556,Reactome,2,99,1.21,2.37,-0.07,0.5298600701244216,"DERL1, PSMB7",0.7231684124298724
PTEN Regulation R-HSA-6807070,Reactome,2,132,0.91,3.05,-0.08,0.5303840434389826,"LAMTOR3, PSMB7",0.7231684124298724
Post-translational Protein Phosphorylation R-HSA-8957275,Reactome,2,97,1.24,1.36,-0.08,0.5307679010577798,"AMELX, SERPINA10",0.7231684124298724
TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541,Reactome,2,98,1.23,1.74,-0.08,0.5309928068312392,"PSMB7, TNFSF18",0.7231684124298724
Cell adhesion molecules,KEGG,2,134,0.9,3.36,-0.08,0.5336580548315591,"CD274, LRRC4",0.7231684124298724
L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,Reactome,2,103,1.17,3.59,-0.09,0.5345609774172295,"MRPL13, RPL12",0.7231684124298724
Fluid shear stress and atherosclerosis,KEGG,2,132,0.91,1.93,-0.1,0.5381674560163225,"IL1R1, IL1R2",0.7231684124298724
GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,Reactome,2,104,1.16,3.29,-0.1,0.5387176567754147,"MRPL13, RPL12",0.7231684124298724
Biological Oxidations R-HSA-211859,Reactome,3,198,0.91,2.81,-0.1,0.5388529412033518,"ADH7, ALDH1B1, CYP39A1",0.7231684124298724
Cytokine Signaling In Immune System R-HSA-1280215,Reactome,10,650,0.93,6.46,-0.1,0.5397037591754739,"BCL2L11, CRK, CTSG, IFIT3, IFNB1, IL1R1, IL1R2, PSMB7, STX4, TNFSF18",0.7231684124298724
Gene Silencing By RNA R-HSA-211000,Reactome,2,103,1.17,2.66,-0.1,0.5401810273251885,"DDX4, H2BC12",0.7231684124298724
Translation R-HSA-72766,Reactome,4,269,0.89,5.0,-0.1,0.5405199896282245,"FARSA, MRPL13, MRPS15, RPL12",0.7231684124298724
CDC42 GTPase Cycle R-HSA-9013148,Reactome,2,135,0.89,2.54,-0.1,0.5413741936096133,"ARHGAP40, CDC42EP2",0.7231684124298724
rRNA Processing R-HSA-72312,Reactome,3,175,1.03,5.47,-0.1,0.5415015472592993,"EXOSC5, MRPL13, RPL12",0.7231684124298724
Human T-cell leukemia virus 1 infection,KEGG,3,199,0.91,2.66,-0.11,0.5421222244507679,"IL1R1, IL1R2, MSX2",0.7231684124298724
DNA Repair,Hallmark,2,140,0.86,4.23,-0.11,0.5421749362776138,"PNP, TYMS",0.7231684124298724
