pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Aspirin ADME R-HSA-9749641,Reactome,3,36,5.01,2.17,1.69,0.045902105479349954,"UGT1A6, UGT1A8, UGT2B28",0.37571723373838295
HCMV Late Events R-HSA-9610379,Reactome,5,80,3.76,2.79,1.66,0.04818669127072275,"H2AC11, H2BC18, H2BC3, H2BC4, POM121",0.380330670386776
CYP2E1 Reactions R-HSA-211999,Reactome,2,10,12.03,4.24,1.6,0.05461821457070164,"CYP2A13, CYP2A6",0.39244150331120514
HCMV Early Events R-HSA-9609690,Reactome,5,92,3.27,2.31,1.6,0.05514427049837462,"H2AC11, H2BC18, H2BC3, H2BC4, POM121",0.39244150331120514
Visual Phototransduction R-HSA-2187338,Reactome,5,91,3.3,2.39,1.59,0.05624423048463159,"AKR1C4, BCO2, GRK4, HSD17B6, RBP1",0.39244150331120514
Cytochrome P450 - Arranged By Substrate Type R-HSA-211897,Reactome,4,55,4.37,3.03,1.57,0.058275253318821496,"CYP11B1, CYP11B2, CYP2A13, CYP2A6",0.39244150331120514
Glutathione Conjugation R-HSA-156590,Reactome,3,33,5.47,2.88,1.57,0.058599862485383576,"GSTM1, GSTM2, GSTM5",0.39244150331120514
Phase II - Conjugation Of Compounds R-HSA-156580,Reactome,6,97,3.72,4.1,1.53,0.06316455137572295,"GSTM1, GSTM2, GSTM5, UGT1A6, UGT1A8, UGT2B28",0.40533771464447516
Fertilization R-HSA-1187000,Reactome,2,22,5.47,1.55,1.52,0.06419375571292593,"ADAM20, OVGP1",0.40533771464447516
DNA Methylation R-HSA-5334118,Reactome,3,32,5.64,3.28,1.5,0.06636674973832575,"DNMT3L, H2BC3, H2BC4",0.40741810256027755
Canonical Retinoid Cycle In Rods (Twilight Vision) R-HSA-2453902,Reactome,2,23,5.23,1.51,1.48,0.06901709816684842,"HSD17B6, RBP1",0.41223726202360816
Viral carcinogenesis,KEGG,8,177,2.72,3.51,1.44,0.07523107474999802,"H2BC18, H2BC3, H2BC4, H2BC7, H2BC8, H4C13, H4C2, H4C6",0.4375280926249885
HCMV Infection R-HSA-9609646,Reactome,5,108,2.78,2.16,1.39,0.0823645512243169,"H2AC11, H2BC18, H2BC3, H2BC4, POM121",0.4667324569377958
HDACs Deacetylate Histones R-HSA-3214815,Reactome,4,59,4.08,3.52,1.37,0.08548794015117422,"H2AC11, H2BC18, H2BC3, H2BC4",0.4672215014332678
Biological Oxidations R-HSA-211859,Reactome,10,198,3.04,6.51,1.36,0.08667910207585511,"CYP11B1, CYP11B2, CYP2A13, CYP2A6, GSTM1, GSTM2, GSTM5, UGT1A6, UGT1A8, UGT2B28",0.4672215014332678
Reproduction R-HSA-1474165,Reactome,4,102,2.36,1.35,1.21,0.11366485267685539,"ADAM20, H2BC3, H2BC4, OVGP1",0.5980936295615485
Drug ADME R-HSA-9748784,Reactome,4,81,2.97,2.6,1.16,0.12246396363040368,"GSTM1, UGT1A6, UGT1A8, UGT2B28",0.629407813077191
Endogenous Sterols R-HSA-211976,Reactome,2,27,4.45,1.95,1.14,0.1281827328308623,"CYP11B1, CYP11B2",0.6425366891604296
Drug metabolism,KEGG,7,127,3.31,7.42,1.12,0.13083326249873,"CYP2A6, GSTM1, GSTM2, GSTM5, UGT1A6, UGT1A8, UGT2B28",0.6425366891604296
Xenobiotics R-HSA-211981,Reactome,2,20,6.01,3.49,1.09,0.13713772867459856,"CYP2A13, CYP2A6",0.6588573486323105
Paracetamol ADME R-HSA-9753281,Reactome,2,25,4.81,2.52,1.07,0.14247042331108245,"GSTM1, UGT1A6",0.6699141181223239
