pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Phospholipase C-mediated Cascade; FGFR2 R-HSA-5654221,Reactome,2,18,6.68,1.04,2.17,0.01511333594200304,"FGF13, FGF9",0.24397807338119643
Transcription Of E2F Targets Under Negative Control By P107 (RBL1) And P130 (RBL2) In Complex With HDAC1 R-HSA-1362300,Reactome,2,16,7.52,1.25,2.16,0.015463399017118084,"CDK1, LIN52",0.24397807338119643
FRS-mediated FGFR3 Signaling R-HSA-5654706,Reactome,2,19,6.33,1.0,2.13,0.0167678560493936,"FGF13, FGF9",0.25063532200146227
SHC-mediated cascade:FGFR4 R-HSA-5654719,Reactome,2,19,6.33,1.0,2.13,0.0167678560493936,"FGF13, FGF9",0.25063532200146227
RHOH GTPase Cycle R-HSA-9013407,Reactome,3,30,6.01,1.85,2.1,0.01767318241804026,"CAV1, LAMTOR1, RHOH",0.2573940413704325
Mitophagy,KEGG,4,64,3.76,1.34,2.06,0.01969984202622503,"CSNK2A1, FUNDC1, KRAS, RRAS2",0.27327322831440454
PI-3K cascade:FGFR4 R-HSA-5654720,Reactome,2,20,6.01,1.0,2.04,0.020537967178092986,"FGF13, FGF9",0.27327322831440454
G1/S Transition R-HSA-69206,Reactome,7,126,3.34,2.28,2.04,0.020573925873811023,"CDK1, CDK2, LIN52, POLE3, PSMA1, PSMA3, PSMB2",0.27327322831440454
TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114,Reactome,2,17,7.08,1.29,2.04,0.02079350630088276,"CDK1, PRMT1",0.27327322831440454
GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,Reactome,7,104,4.05,3.29,2.02,0.02156828197064571,"EIF2S1, EIF3I, RPL18, RPL21, RPL23A, RPLP2, RPS10",0.27327322831440454
Formation Of ATP By Chemiosmotic Coupling R-HSA-163210,Reactome,2,15,8.02,1.56,2.02,0.021650167736176416,"ATP5MC1, ATP5ME",0.27327322831440454
SUMOylation Of DNA Methylation Proteins R-HSA-4655427,Reactome,2,15,8.02,1.6,2.0,0.022948349572824347,"RNF2, SUMO1",0.2773637378323335
Synaptic vesicle cycle,KEGG,6,77,4.69,3.57,2.0,0.022950872672745905,"ATP6V0E2, ATP6V1D, ATP6V1G1, ATP6V1G2, CPLX1, SYT1",0.2773637378323335
Cyclin E Associated Events During G1/S Transition R-HSA-69202,Reactome,5,79,3.81,2.01,1.98,0.023763133398062054,"CDK2, LIN52, PSMA1, PSMA3, PSMB2",0.2811970785437343
FRS-mediated FGFR4 Signaling R-HSA-5654712,Reactome,2,21,5.73,1.0,1.97,0.02469532357200085,"FGF13, FGF9",0.2828527950262963
L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,Reactome,7,103,4.09,3.59,1.95,0.02543532043675158,"EIF2S1, EIF3I, RPL18, RPL21, RPL23A, RPLP2, RPS10",0.2828527950262963
Iron Uptake And Transport R-HSA-917937,Reactome,4,57,4.22,1.84,1.95,0.025487399150676368,"ATP6V0E2, ATP6V1D, ATP6V1G1, ATP6V1G2",0.2828527950262963
Cap-dependent Translation Initiation R-HSA-72737,Reactome,7,111,3.79,3.18,1.94,0.025930818258923287,"EIF2S1, EIF3I, RPL18, RPL21, RPL23A, RPLP2, RPS10",0.2828527950262963
Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656,Reactome,5,81,3.71,2.01,1.94,0.026392954465481875,"CDK2, LIN52, PSMA1, PSMA3, PSMB2",0.2828527950262963
Transcriptional Regulation By RUNX1 R-HSA-8878171,Reactome,9,191,2.83,2.55,1.9,0.028699360380872486,"AGO1, DPY30, LMO1, PRMT1, PSMA1, PSMA3, PSMB2, RBBP5, RNF2",0.30111119141855114
Myc Targets V1,Hallmark,11,191,3.46,4.85,1.89,0.029156893535247027,"ABCE1, CDK2, COX5A, EIF2S1, PHB2, POLE3, PSMA1, PSMB2, RPL18, RPS10, SSBP1",0.30111119141855114
FGFR2 Ligand Binding And Activation R-HSA-190241,Reactome,2,20,6.01,1.19,1.87,0.03045602547141981,"FGF13, FGF9",0.3067443748987051
Acetylcholine Neurotransmitter Release Cycle R-HSA-264642,Reactome,2,16,7.52,1.67,1.87,0.030782446072581324,"CPLX1, SYT1",0.3067443748987051
Cellular senescence,KEGG,7,143,2.94,2.2,1.82,0.03406126544967112,"CDK1, CDK2, KRAS, LIN52, PPP3CA, RRAS2, SLC25A4",0.3213197521560986
Cardiac muscle contraction,KEGG,5,77,3.91,2.52,1.81,0.035037020676768296,"COX5A, COX7A1, COX7A2, MYL2, UQCRH",0.3213197521560986
Serotonin Neurotransmitter Release Cycle R-HSA-181429,Reactome,2,17,7.08,1.67,1.79,0.03678959989509207,"CPLX1, SYT1",0.3213197521560986
Norepinephrine Neurotransmitter Release Cycle R-HSA-181430,Reactome,2,17,7.08,1.67,1.79,0.03678959989509207,"CPLX1, SYT1",0.3213197521560986
mTORC1-mediated Signaling R-HSA-166208,Reactome,2,23,5.23,1.04,1.79,0.03689866199444845,"LAMTOR1, MLST8",0.3213197521560986
Vibrio cholerae infection,KEGG,4,49,4.91,2.83,1.79,0.03707480182822939,"ATP6V0E2, ATP6V1D, ATP6V1G1, ATP6V1G2",0.3213197521560986
Mitotic G1 Phase And G1/S Transition R-HSA-453279,Reactome,7,144,2.92,2.28,1.78,0.03742059838979932,"CDK1, CDK2, LIN52, POLE3, PSMA1, PSMA3, PSMB2",0.3213197521560986
mTOR signaling pathway,KEGG,8,133,3.62,4.1,1.78,0.03767106887861639,"ATP6V1D, ATP6V1G1, ATP6V1G2, EIF4E2, KRAS, LAMTOR1, MLST8, RPS6KA3",0.3213197521560986
Signaling By ERBB4 R-HSA-1236394,Reactome,3,52,3.47,1.0,1.78,0.03782368672189564,"APH1A, GABRA1, GABRB2",0.3213197521560986
FRS-mediated FGFR1 Signaling R-HSA-5654693,Reactome,2,22,5.47,1.16,1.75,0.03966084138585801,"FGF13, FGF9",0.3213197521560986
PI-3K cascade:FGFR1 R-HSA-5654689,Reactome,2,21,5.73,1.26,1.75,0.03977242630113777,"FGF13, FGF9",0.3213197521560986
Oxidative Phosphorylation,Hallmark,10,191,3.15,4.23,1.75,0.03988306837880062,"ATP5MC1, ATP5ME, ATP6V1D, ATP6V1G1, COX5A, COX7A2, MPC1, PHB2, SLC25A4, UQCRH",0.3213197521560986
Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,Reactome,5,78,3.86,2.66,1.74,0.040712841122355334,"CDK1, CDK2, PSMA1, PSMA3, PSMB2",0.3213197521560986
Huntington disease,KEGG,12,266,2.71,3.94,1.72,0.04231805340844816,"ATP5MC1, COX5A, COX7A1, COX7A2, POLR2C, POLR2J2, PSMA1, PSMA3, PSMB2, SLC25A4, TBPL1, UQCRH",0.3213197521560986
G2/M Transition R-HSA-69275,Reactome,8,171,2.81,2.64,1.72,0.04234203316602425,"CDK1, CDK2, LIN52, MZT1, PAFAH1B1, PSMA1, PSMA3, PSMB2",0.3213197521560986
Signaling By FGFR3 In Disease R-HSA-5655332,Reactome,2,21,5.73,1.32,1.71,0.043384992779477084,"FGF13, FGF9",0.3213197521560986
