pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Amyotrophic lateral sclerosis,KEGG,15,318,2.84,3.17,2.29,0.01095088699476111,"ATP5MC1, ATP5MC3, CHMP2B, COX6A1, DCTN5, EIF2S1, GABARAPL2, GRIA2, HNRNPA3, NDUFA6, NDUFS5, PPP3CB, PSMA7, TARDBP, UQCRQ",0.17177248457496713
SHC-mediated cascade:FGFR3 R-HSA-5654704,Reactome,2,17,7.08,1.06,2.24,0.012428399461008514,"FGF18, FGF9",0.18953309178037983
MECP2 Regulates Neuronal Receptors And Channels R-HSA-9022699,Reactome,2,18,6.68,1.0,2.21,0.013398877940772212,"CREB1, GRIA2",0.19881037809416066
Phospholipase C-mediated Cascade; FGFR2 R-HSA-5654221,Reactome,2,18,6.68,1.04,2.17,0.01511333594200304,"FGF18, FGF9",0.21834793242525444
SHC-mediated cascade:FGFR4 R-HSA-5654719,Reactome,2,19,6.33,1.0,2.13,0.0167678560493936,"FGF18, FGF9",0.23603981977223304
Downstream Signaling Of Activated FGFR2 R-HSA-5654696,Reactome,3,29,6.22,1.96,2.09,0.018159414026084127,"FGF18, FGF9, PTPN11",0.24923795750800465
Ephrin Signaling R-HSA-3928664,Reactome,2,18,6.68,1.16,2.05,0.02001818105296363,"FYN, MYL12A",0.2604370570336988
Signaling By FGFR4 R-HSA-5654743,Reactome,3,38,4.75,1.35,2.04,0.020613973951788798,"FGF18, FGF9, PTPN11",0.2604370570336988
Formation Of RNA Pol II Elongation Complex R-HSA-112382,Reactome,4,57,4.22,1.68,2.04,0.0206271247661957,"CDK9, POLR2B, POLR2E, SKIC8",0.2604370570336988
Oxidative Phosphorylation,Hallmark,11,191,3.46,4.23,2.03,0.021224656986659075,"ATP5MC1, ATP5MC3, ATP5MF, ATP5MG, COX6A1, CYB5A, MPC1, NDUFA6, SLC25A11, TIMM13, UQCRQ",0.2604370570336988
Signaling By FGFR3 R-HSA-5654741,Reactome,3,37,4.88,1.43,2.03,0.0213537301433876,"FGF18, FGF9, PTPN11",0.2604370570336988
PI3K Cascade R-HSA-109704,Reactome,3,44,4.1,1.07,2.02,0.021821684195901903,"FGF18, FGF9, PTPN11",0.2604370570336988
CTLA4 Inhibitory Signaling R-HSA-389513,Reactome,2,20,6.01,1.05,1.99,0.023327749903138996,"FYN, PTPN11",0.27248797227283633
Huntington disease,KEGG,13,266,2.94,3.94,1.97,0.02453055729377304,"ATP5MC1, ATP5MC3, COX6A1, CREB1, DCTN5, GRIA2, NDUFA6, NDUFS5, NRF1, POLR2B, POLR2E, PSMA7, UQCRQ",0.28056824904752914
Regulation Of TLR By Endogenous Ligand R-HSA-5686938,Reactome,2,17,7.08,1.43,1.93,0.026644085948310168,"HMGB1, S100A8",0.29852251399229146
Pausing And Recovery Of Tat-mediated HIV Elongation R-HSA-167238,Reactome,3,30,6.01,2.21,1.92,0.027219080521685996,"CDK9, POLR2B, POLR2E",0.29886550412811225
Prolactin Receptor Signaling R-HSA-1170546,Reactome,2,15,8.02,1.76,1.9,0.02839893907711696,"CUL1, PTPN11",0.3051429123760204
IRS-mediated Signaling R-HSA-112399,Reactome,3,47,3.84,1.07,1.9,0.028902425215943647,"FGF18, FGF9, PTPN11",0.3051429123760204
FGFR2 Ligand Binding And Activation R-HSA-190241,Reactome,2,20,6.01,1.19,1.87,0.03045602547141981,"FGF18, FGF9",0.3154784525247071
HIV Elongation Arrest And Recovery R-HSA-167287,Reactome,3,32,5.64,2.14,1.86,0.031264600969759235,"CDK9, POLR2B, POLR2E",0.31785677652588556
Long-term Potentiation R-HSA-9620244,Reactome,2,23,5.23,1.0,1.82,0.03410065225659557,"GRIA2, NRGN",0.3363747976161549
RNA polymerase,KEGG,3,30,6.01,2.49,1.81,0.03507911591478843,"POLR2B, POLR2E, POLR3H",0.3363747976161549
MyD88 Deficiency (TLR2/4) R-HSA-5602498,Reactome,2,17,7.08,1.64,1.81,0.03549486599115687,"HMGB1, S100A8",0.3363747976161549
RNA Polymerase III Transcription Termination R-HSA-73980,Reactome,2,21,5.73,1.19,1.8,0.035616082821369445,"POLR2E, POLR3H",0.3363747976161549
Prion disease,KEGG,11,244,2.71,3.27,1.8,0.03614956841412229,"ATP5MC1, ATP5MC3, COX6A1, CREB1, EIF2S1, FYN, NDUFA6, NDUFS5, PPP3CB, PSMA7, UQCRQ",0.3363747976161549
Signaling By FGFR2 In Disease R-HSA-5655253,Reactome,4,41,5.87,3.73,1.79,0.03711844196271951,"FGF18, FGF9, POLR2B, POLR2E",0.3396337439588835
FRS-mediated FGFR1 Signaling R-HSA-5654693,Reactome,2,22,5.47,1.16,1.75,0.03966084138585801,"FGF9, PTPN11",0.3436922465618078
PI-3K cascade:FGFR1 R-HSA-5654689,Reactome,2,21,5.73,1.26,1.75,0.03977242630113777,"FGF9, PTPN11",0.3436922465618078
IRS-related Events Triggered By IGF1R R-HSA-2428928,Reactome,3,51,3.54,1.07,1.75,0.03997280589827716,"FGF18, FGF9, PTPN11",0.3436922465618078
Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,Reactome,4,77,3.12,1.28,1.75,0.040066127103744444,"FGF18, FGF9, FYN, PTPN11",0.3436922465618078
Signaling By FGFR In Disease R-HSA-1226099,Reactome,5,59,5.1,4.32,1.73,0.04208972942659338,"CPSF6, FGF18, FGF9, POLR2B, POLR2E",0.34537651253265716
RNA Polymerase II Pre-transcription Events R-HSA-674695,Reactome,5,78,3.86,2.74,1.72,0.04301910316525939,"CDK9, GTF2B, POLR2B, POLR2E, SKIC8",0.34537651253265716
Signaling By FGFR3 In Disease R-HSA-5655332,Reactome,2,21,5.73,1.32,1.71,0.043384992779477084,"FGF18, FGF9",0.34537651253265716
RNA Polymerase III Transcription Initiation From Type 2 Promoter R-HSA-76066,Reactome,2,24,5.01,1.06,1.71,0.0434426616162734,"POLR2E, POLR3H",0.34537651253265716
RNA Polymerase III Transcription Initiation From Type 3 Promoter R-HSA-76071,Reactome,2,24,5.01,1.08,1.69,0.04565894667245514,"POLR2E, POLR3H",0.34537651253265716
COPI-mediated Anterograde Transport R-HSA-6807878,Reactome,4,73,3.3,1.55,1.68,0.046114653482043175,"DCTN5, KDELR2, KDELR3, RAB1B",0.34537651253265716
