pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
CYP2E1 Reactions R-HSA-211999,Reactome,4,10,24.06,4.24,4.0,3.1220925992684274e-05,"CYP2A13, CYP2A6, CYP2A7, CYP2C19",0.00048300609035740967
"Base-Excision Repair, AP Site Formation R-HSA-73929",Reactome,6,42,8.59,2.16,3.95,3.9128996406251184e-05,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.0005717181141580035
Meiotic Recombination R-HSA-912446,Reactome,7,51,8.25,2.51,3.91,4.5411349493005035e-05,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.0006285886798242276
Inhibition Of DNA Recombination At Telomere R-HSA-9670095,Reactome,6,45,8.02,2.08,3.85,5.950362427206078e-05,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.0007824726591775992
RHO GTPases Activate PKNs R-HSA-5625740,Reactome,7,54,7.8,2.51,3.77,8.148640914272443e-05,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.0010205202668826917
B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924,Reactome,7,55,7.65,2.51,3.73,9.764913000010164e-05,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.0011673509631830333
Amyloid Fiber Formation R-HSA-977225,Reactome,8,71,6.78,2.52,3.7,0.00010792823511033117,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7, NAT8",0.0011761796708834806
ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,Reactome,7,43,9.79,3.5,3.69,0.00011113316916589,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.0011761796708834806
Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,Reactome,7,56,7.52,2.51,3.68,0.00011627631727365206,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.0011761796708834806
RNA Polymerase I Promoter Escape R-HSA-73772,Reactome,7,56,7.52,2.51,3.68,0.00011627631727365206,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.0011761796708834806
Caffeine metabolism,KEGG,2,5,24.06,1.89,3.61,0.00015494049748758618,"CYP2A6, CYP2A7",0.001509235216267969
Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,Reactome,6,49,7.36,2.18,3.55,0.00019218637594264272,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.0018051791740326798
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,Reactome,7,59,7.14,2.54,3.53,0.00020429520168020653,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.0018527461393756661
Pre-NOTCH Transcription And Translation R-HSA-1912408,Reactome,7,60,7.02,2.51,3.51,0.00022075855673893698,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.001935316680744681
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,Reactome,7,56,7.52,2.8,3.49,0.0002452825506507182,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.0020809455103593193
Carboxyterminal Post-Translational Modifications Of Tubulin R-HSA-8955332,Reactome,5,39,7.71,2.03,3.39,0.00035483258615181,"TTLL2, TTLL9, TUBA3C, TUBA3D, TUBA3E",0.0029162803174351886
Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499,Reactome,6,37,9.75,3.48,3.37,0.00037782277251564763,"TAS2R10, TAS2R20, TAS2R31, TAS2R42, TAS2R5, UBD",0.0030111330052004647
Meiotic Synapsis R-HSA-1221632,Reactome,6,55,6.56,2.08,3.36,0.0003895563399050752,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.0030133328645598465
Aflatoxin Activation And Detoxification R-HSA-5423646,Reactome,3,17,10.61,1.61,3.32,0.0004533676307513947,"AKR7A2, AKR7L, CYP2A13",0.0034067339110747654
Nonhomologous End-Joining (NHEJ) R-HSA-5693571,Reactome,5,44,6.83,1.82,3.3,0.00048353355922217727,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.0035324812798731287
Endosomal/Vacuolar Pathway R-HSA-1236977,Reactome,2,5,24.06,2.34,3.24,0.0005942276368756472,"CTSL, CTSV",0.004183222060918152
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,Reactome,6,58,6.22,2.08,3.24,0.0006044199175471094,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.004183222060918152
Diseases Of Programmed Cell Death R-HSA-9645723,Reactome,7,68,6.19,2.51,3.22,0.0006368703367650184,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.004294792271005125
Neutrophil extracellular trap formation,KEGG,15,173,5.21,4.75,3.19,0.0007111257802484279,"H2AB1, H2AB2, H2AB3, H2AC8, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H2BC7, H3C10, H3C3, H3C4, H3C6, H3C7",0.004675652005133413
Alcoholism,KEGG,15,177,5.1,4.75,3.14,0.0008557050127924667,"H2AB1, H2AB2, H2AB3, H2AC8, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H2BC7, H3C10, H3C3, H3C4, H3C6, H3C7",0.005489034594254116
NoRC Negatively Regulates rRNA Expression R-HSA-427413,Reactome,7,71,5.93,2.51,3.12,0.0008919014632126886,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.005585002019641359
Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913,Reactome,7,70,6.01,2.68,3.05,0.0011287513769639335,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.006903758421895686
Negative Epigenetic Regulation Of rRNA Expression R-HSA-5250941,Reactome,7,74,5.69,2.51,3.03,0.0012159966420071074,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.007268343564724302
RNA Polymerase I Promoter Clearance R-HSA-73854,Reactome,7,75,5.61,2.51,3.0,0.001341078936045216,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.007837861337330929
Pre-NOTCH Expression And Processing R-HSA-1912422,Reactome,7,76,5.54,2.51,2.97,0.0014752914544371657,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.008255354308871801
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,Reactome,7,76,5.54,2.51,2.97,0.0014752914544371657,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.008255354308871801
Xenobiotics R-HSA-211981,Reactome,4,20,12.03,3.49,2.97,0.0015075204089780958,"CYP2A13, CYP2A6, CYP2A7, CYP2C19",0.008259955574192483
RNA Polymerase I Transcription R-HSA-73864,Reactome,7,76,5.54,2.55,2.95,0.0015941277151774193,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.00855623651207472
Meiosis R-HSA-1500620,Reactome,7,80,5.26,2.51,2.86,0.002110579792992489,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.011101649711140492
Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565,Reactome,5,55,5.47,1.79,2.83,0.002300352000857599,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.011862599533834286
Transcriptional Regulation By Small RNAs R-HSA-5578749,Reactome,7,72,5.85,3.07,2.79,0.0025999905668255482,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.013149952289906139
DNA Double Strand Break Response R-HSA-5693606,Reactome,5,56,5.37,1.83,2.76,0.002879302176137075,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.014287857968378314
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of Keratinocytes R-HSA-8939242,Reactome,2,8,15.04,1.97,2.69,0.0035660836278828293,"CTSL, CTSV",0.01736814803950341
Oxidative Stress Induced Senescence R-HSA-2559580,Reactome,7,88,4.78,2.51,2.66,0.003924343279823026,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.018765496047153742
Base Excision Repair R-HSA-73884,Reactome,6,69,5.23,2.43,2.63,0.004231385637904415,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.019872400406586804
FCGR Activation R-HSA-2029481,Reactome,2,10,12.03,1.64,2.58,0.004985850036303245,"IGLL5, TARP",0.02300488700960971
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236,Reactome,7,92,4.58,2.51,2.57,0.005142703398227673,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.023319499891963417
Taste transduction,KEGG,8,80,6.01,4.72,2.49,0.006397101842746248,"HTR3C, HTR3E, PKD1L3, TAS2R10, TAS2R20, TAS2R31, TAS2R42, TAS2R5",0.028265664989282752
G2/M DNA Damage Checkpoint R-HSA-69473,Reactome,5,65,4.63,1.79,2.49,0.006448440681965647,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.028265664989282752
E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654,Reactome,5,48,6.26,2.86,2.47,0.006694912334020286,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.02886494989913664
HDACs Deacetylate Histones R-HSA-3214815,Reactome,6,59,6.12,3.52,2.46,0.00702284760995748,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.02979046647449705
Activation Of HOX Genes During Differentiation R-HSA-5619507,Reactome,7,83,5.07,3.37,2.4,0.008215098061110574,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.03429477444558859
Reproduction R-HSA-1474165,Reactome,7,102,4.13,2.51,2.36,0.009228796838271288,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.03754096250986985
Fatty Acids R-HSA-211935,Reactome,2,9,13.36,2.24,2.35,0.00927818465072829,"CYP2A13, CYP2A7",0.03754096250986985
Drug ADME R-HSA-9748784,Reactome,6,81,4.45,2.45,2.31,0.010392632666922834,"ABCG2, CYP2C19, GLYAT, GSTA1, GSTA2, SULT1E1",0.04141306653637432
Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome,7,106,3.97,2.51,2.28,0.011311987930552698,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.0444037735184382
