pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Transcriptional misregulation in cancer,KEGG,4,174,1.38,2.13,0.25,0.4021961255304778,"H3C12, H3C2, H3C4, KDM6A",0.8127383975216228
Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480,Reactome,2,70,1.72,2.02,0.22,0.4122704753991257,"IGLL5, TARP",0.8127383975216228
Glycerophospholipid Biosynthesis R-HSA-1483206,Reactome,3,127,1.42,1.82,0.2,0.4206160627641463,"CPNE7, PLA2G4C, PLAAT2",0.8127383975216228
Keratinization R-HSA-6805567,Reactome,3,107,1.69,8.25,0.19,0.4245009342210687,"KRT37, KRT85, LIPJ",0.8127383975216228
Interferon Gamma Response,Hallmark,4,180,1.34,2.93,0.17,0.43103343409954714,"CFH, FPR1, SECTM1, USP18",0.8127383975216228
Chemical carcinogenesis,KEGG,5,236,1.27,4.0,0.15,0.44128248163883294,"CYP3A43, GSTA1, GSTA2, GSTT2, UGT2A3",0.8127383975216228
Fluid shear stress and atherosclerosis,KEGG,3,132,1.37,2.2,0.14,0.44410102819712943,"GSTA1, GSTA2, GSTT2",0.8127383975216228
Antimicrobial Peptides R-HSA-6803157,Reactome,2,76,1.58,5.48,0.09,0.4638398805276173,"DEFB107A, RNASE3",0.8127383975216228
GPCR Ligand Binding R-HSA-500792,Reactome,8,415,1.16,8.74,0.08,0.46853872612622277,"CCL4, CX3CL1, FPR1, HCAR3, MTNR1B, TAAR6, TAS2R13, TAS2R31",0.8127383975216228
Taste transduction,KEGG,2,80,1.5,4.72,0.07,0.4726934586125227,"TAS2R13, TAS2R31",0.8127383975216228
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,Reactome,6,308,1.17,6.67,0.07,0.47368881007962216,"CCL4, CX3CL1, FPR1, HCAR3, MTNR1B, TAAR6",0.8127383975216228
Cell Junction Organization R-HSA-446728,Reactome,2,83,1.45,3.22,0.06,0.4770616266792471,"PVR, SDK1",0.8127383975216228
Activation Of HOX Genes During Differentiation R-HSA-5619507,Reactome,2,83,1.45,3.37,0.06,0.4775992491164134,"H2BC13, KDM6A",0.8127383975216228
Fc gamma R-mediated phagocytosis,KEGG,2,86,1.4,1.29,0.05,0.479245041493561,"PLA2G4C, PTPRC",0.8127383975216228
Hepatocellular carcinoma,KEGG,3,145,1.24,2.2,0.04,0.48439614864514163,"GSTA1, GSTA2, GSTT2",0.8127383975216228
Viral protein interaction with cytokine and cytokine receptor,KEGG,2,86,1.4,2.45,0.04,0.4849211135138558,"CCL4, CX3CL1",0.8127383975216228
Downstream TCR Signaling R-HSA-202424,Reactome,2,88,1.37,1.91,0.02,0.4911372869169036,"HLA-DQB2, TARP",0.8127383975216228
Interferon Alpha Response,Hallmark,2,89,1.35,2.22,0.01,0.4955203022549163,"GBP2, USP18",0.8127383975216228
Stimuli-sensing Channels R-HSA-2672351,Reactome,2,89,1.35,2.8,0.01,0.49600935189213197,"MCOLN2, RNASE3",0.8127383975216228
Peptide Ligand-Binding Receptors R-HSA-375276,Reactome,3,181,1.0,3.41,-0.0,0.5012181713058901,"CCL4, CX3CL1, FPR1",0.8127383975216228
Apical Junction,Hallmark,3,184,0.98,5.54,-0.01,0.505851899218719,"CX3CL1, PTPRC, SHROOM2",0.8127383975216228
Epithelial Mesenchymal Transition,Hallmark,3,184,0.98,4.51,-0.02,0.5064897996482007,"COL4A2, MAGEE1, PVR",0.8127383975216228
KRAS Signaling Dn,Hallmark,3,184,0.98,2.12,-0.02,0.5094673301575107,"AKR1B10, CPA2, LGALS7",0.8127383975216228
Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851,Reactome,3,156,1.16,4.08,-0.03,0.5116777487434776,"IGLL5, TAAR6, TARP",0.8127383975216228
Complement,Hallmark,3,186,0.97,3.26,-0.03,0.5118226301369293,"CFH, COL4A2, FCN1",0.8127383975216228
