pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Negative Regulation Of FGFR4 Signaling R-HSA-5654733,Reactome,2,29,4.15,1.43,1.24,0.10797524997580499,"PPP2CB, UBA52",0.20476121483630072
Huntington disease,KEGG,10,266,2.26,3.94,1.24,0.10803014295535651,"ACTR1A, COX7A2L, COX8A, COX8C, MAPK8, NRF1, PSMB2, PSMB3, PSMD11, TUBB4A",0.20476121483630072
Downstream TCR Signaling R-HSA-202424,Reactome,4,88,2.73,1.91,1.23,0.10908581995210881,"PSMB2, PSMB3, PSMD11, UBA52",0.20570891374582329
Gene Expression (Transcription) R-HSA-74160,Reactome,35,1074,1.96,11.21,1.23,0.10922331141188685,"AKT3, ANAPC16, CAV1, CBX3, CCNC, CDK2, CDK8, CDK9, COX19, COX7A2L, COX8A, CSNK2A2, GTF2A2, GTF2H5, H2AX, HDAC3, LSM10, MAPK14, MED31, MEF2C, MLST8, MOBP, PPP2CB, PSMB2, PSMB3, PSMD11, RBBP7, RNF2, SMAD1, SRSF5, SST, TRIAP1, U2AF2, UBA52, UBE2E1",0.20570891374582329
Glucagon Signaling In Metabolic Regulation R-HSA-163359,Reactome,2,30,4.01,1.35,1.23,0.10936072803445518,"GNG11, GNG12",0.20570891374582329
Calnexin/calreticulin Cycle R-HSA-901042,Reactome,2,24,5.01,2.06,1.23,0.11016127214304738,"RNF185, UBA52",0.206691477783546
CD28 Co-Stimulation R-HSA-389356,Reactome,2,32,3.76,1.22,1.21,0.11235651444828731,"AKT3, MLST8",0.2098494782021353
DNA Double Strand Break Response R-HSA-5693606,Reactome,3,56,3.22,1.83,1.21,0.11240927634515457,"H2AX, MAPK8, UBA52",0.2098494782021353
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,Reactome,3,58,3.11,1.71,1.21,0.11337625616385638,"CDK2, H2AX, HMGA2",0.21112420634021375
Human cytomegalovirus infection,KEGG,7,198,2.13,2.25,1.2,0.11601176405473196,"AKT3, GNAI1, GNG11, GNG12, MAPK14, PRKACA, RAC3",0.2154918517316646
Costimulation By CD28 Family R-HSA-388841,Reactome,3,62,2.91,1.52,1.19,0.11778675045427828,"AKT3, MLST8, PPP2CB",0.21824328076690466
DNA Damage Recognition In GG-NER R-HSA-5696394,Reactome,2,32,3.76,1.29,1.18,0.1190608463064805,"COPS5, UBA52",0.22005524578536076
Activation Of Pre-Replicative Complex R-HSA-68962,Reactome,2,32,3.76,1.3,1.17,0.12014833118576662,"CDK2, POLE3",0.221514168910731
Autophagy,KEGG,6,159,2.27,2.32,1.17,0.12120820728039905,"AKT3, MAPK8, MLST8, PPP2CB, PRKACA, RAB8A",0.22260996441877115
Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,Reactome,4,79,3.05,2.73,1.17,0.12134190523499638,"ACTR1A, RAB8A, TUBB4A, UBA52",0.22260996441877115
Signaling By ALK R-HSA-201556,Reactome,2,26,4.63,1.98,1.17,0.12182763151073084,"HDAC3, PTN",0.2229505670257956
Negative Regulation Of FGFR1 Signaling R-HSA-5654726,Reactome,2,31,3.88,1.43,1.16,0.1234809356199969,"PPP2CB, UBA52",0.22507173686309692
VEGF signaling pathway,KEGG,3,57,3.17,1.94,1.16,0.12359255537031433,"AKT3, MAPK14, RAC3",0.22507173686309692
Chemokine signaling pathway,KEGG,6,174,2.07,1.81,1.15,0.12406257240434215,"AKT3, GNAI1, GNG11, GNG12, PRKACA, RAC3",0.2253752843433404
RNA Polymerase I Promoter Escape R-HSA-73772,Reactome,3,56,3.22,2.04,1.15,0.12491463285224341,"CBX3, GTF2H5, H2AX",0.22636968831516308
Termination Of Translesion DNA Synthesis R-HSA-5656169,Reactome,2,28,4.3,1.78,1.15,0.12564576165938773,"POLE3, UBA52",0.22714063482463526
COPI-independent Golgi-to-ER Retrograde Traffic R-HSA-6811436,Reactome,2,33,3.64,1.29,1.14,0.1266374162954903,"ACTR1A, PAFAH1B2",0.2283776706493915
