pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
RMTs Methylate Histone Arginines R-HSA-3214858,Reactome,4,47,5.12,1.09,2.97,0.0014936524156948531,"H2AB1, H2AC20, H2AC4, RPS2",0.02225542099385331
Negative Epigenetic Regulation Of rRNA Expression R-HSA-5250941,Reactome,7,74,5.69,2.71,2.92,0.0017522339211343265,"GTF2H5, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.02448861692746254
Pre-NOTCH Transcription And Translation R-HSA-1912408,Reactome,6,60,6.01,2.44,2.92,0.0017603802836318242,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.02448861692746254
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,Reactome,7,76,5.54,2.62,2.91,0.0018078844711549523,"ANAPC7, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.02448861692746254
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,Reactome,6,59,6.12,2.54,2.89,0.001901549368742079,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.02451868868520067
RNA Polymerase I Promoter Clearance R-HSA-73854,Reactome,7,75,5.61,2.71,2.89,0.0019198078388859587,"GTF2H5, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.02451868868520067
RNA Polymerase I Transcription R-HSA-73864,Reactome,7,76,5.54,2.71,2.86,0.0020984655966187708,"GTF2H5, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.02605594782468307
Mitotic Prophase R-HSA-68875,Reactome,9,107,5.06,3.32,2.8,0.002567683177732398,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4, PPP2CA, PPP2R2D",0.031020388660713025
Reproduction R-HSA-1474165,Reactome,8,102,4.72,2.68,2.75,0.0029347922838373975,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4, SYCP3",0.033685253203736276
Pentose and glucuronate interconversions,KEGG,4,26,9.25,2.92,2.75,0.0029389818231447757,"UGT1A10, UGT2B10, UGT2B28, UGT2B7",0.033685253203736276
HCMV Late Events R-HSA-9610379,Reactome,7,80,5.26,2.79,2.71,0.003346040107775886,"CHMP2A, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, HNRNPK",0.037391998204395524
Diseases Of Programmed Cell Death R-HSA-9645723,Reactome,6,68,5.31,2.44,2.66,0.00389684448616748,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.04248510939797228
MASTL Facilitates Mitotic Progression R-HSA-2465910,Reactome,2,10,12.03,1.6,2.61,0.004498618349887125,"PPP2CA, PPP2R2D",0.0478781524380844
L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,Reactome,10,103,5.84,5.53,2.56,0.005229551258735232,"EIF3G, EIF4A2, FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.05436300959661974
GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,Reactome,10,104,5.78,5.53,2.54,0.005501942168830048,"EIF3G, EIF4A2, FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.05530896681241892
Amyloid Fiber Formation R-HSA-977225,Reactome,6,71,5.08,2.52,2.53,0.005722660445839859,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.05530896681241892
Retinol metabolism,KEGG,6,58,6.22,3.41,2.53,0.00577603970765904,"ALDH1A2, RDH16, UGT1A10, UGT2B10, UGT2B28, UGT2B7",0.05530896681241892
Alcoholism,KEGG,12,176,4.1,4.06,2.52,0.005815484206227493,"GNB1, H2AB1, H2AC20, H2AC4, H2BC10, H2BC13, H2BC4, H2BC6, H2BC9, H3-4, H4C13, HDAC3",0.05530896681241892
Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913,Reactome,6,70,5.15,2.68,2.48,0.006537256766713482,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.0608782036400193
HDACs Deacetylate Histones R-HSA-3214815,Reactome,6,59,6.12,3.52,2.46,0.00702284760995748,"H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, HDAC3",0.06406556901328558
Pre-NOTCH Expression And Processing R-HSA-1912422,Reactome,6,76,4.75,2.44,2.44,0.0073240500162940194,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.06496314937228495
Porphyrin and chlorophyll metabolism,KEGG,4,37,6.5,2.32,2.44,0.007411902948515733,"UGT1A10, UGT2B10, UGT2B28, UGT2B7",0.06496314937228495
Cap-dependent Translation Initiation R-HSA-72737,Reactome,10,111,5.42,5.53,2.42,0.007658346347606648,"EIF3G, EIF4A2, FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.06583232341115715
RNA Polymerase III Chain Elongation R-HSA-73780,Reactome,2,16,7.52,1.0,2.41,0.007896300821264088,"CRCP, POLR3H",0.06659710315292543
Activation Of HOX Genes During Differentiation R-HSA-5619507,Reactome,7,83,5.07,3.37,2.4,0.008215098061110574,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, HDAC3",0.06800275617252642
HCMV Infection R-HSA-9609646,Reactome,8,108,4.45,3.25,2.39,0.008396932110077337,"CHMP2A, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, HDAC3, HNRNPK",0.06824415733099218
Peptide Chain Elongation R-HSA-156902,Reactome,8,81,5.94,5.1,2.37,0.008790758793385369,"FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.0689826848000177
Formation Of A Pool Of Free 40S Subunits R-HSA-72689,Reactome,9,93,5.82,5.69,2.37,0.008858266655303138,"EIF3G, FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.0689826848000177
Viral carcinogenesis,KEGG,11,177,3.74,3.56,2.37,0.00895077341924167,"DDB1, DDX3X, H2BC10, H2BC13, H2BC4, H2BC6, H2BC9, H4C13, HDAC3, HNRNPK, TBPL1",0.0689826848000177
Antigen processing and presentation,KEGG,5,55,5.47,2.66,2.32,0.010089865654398896,"HSPA1L, KLRC1, KLRC2, KLRC3, KLRC4",0.07615584921499191
Viral mRNA Translation R-HSA-192823,Reactome,8,84,5.73,5.1,2.31,0.010365118031330983,"FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.07615584921499191
Drug ADME R-HSA-9748784,Reactome,6,81,4.45,2.45,2.31,0.010392632666922834,"GSTA1, SULT1A1, UGT1A10, UGT2B10, UGT2B28, UGT2B7",0.07615584921499191
Selenocysteine Synthesis R-HSA-2408557,Reactome,8,85,5.66,5.1,2.29,0.010923162815037387,"FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.07713052293495207
Eukaryotic Translation Termination R-HSA-72764,Reactome,8,85,5.66,5.1,2.29,0.010923162815037387,"FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.07713052293495207
Systemic lupus erythematosus,KEGG,10,121,4.97,5.45,2.29,0.011043296348628485,"H2AB1, H2AC20, H2AC4, H2BC10, H2BC13, H2BC4, H2BC6, H2BC9, H3-4, H4C13",0.07713052293495207
Transcriptional Regulation By Small RNAs R-HSA-5578749,Reactome,6,72,5.01,3.07,2.27,0.011682478462879073,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.07996587342000268
Neutrophil extracellular trap formation,KEGG,11,172,3.85,4.11,2.26,0.011872772193765105,"H2AB1, H2AC20, H2AC4, H2BC10, H2BC13, H2BC4, H2BC6, H2BC9, H3-4, H4C13, HDAC3",0.07996587342000268
Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,Reactome,8,87,5.53,5.1,2.25,0.012089078010123768,"FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.07996587342000268
Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,Reactome,9,105,5.15,5.28,2.25,0.012164830855839333,"FAU, PPP2CA, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.07996587342000268
