pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Hematopoietic cell lineage,KEGG,2,90,1.34,2.11,0.0,0.49920651963165197,"CD1A, ITGAM",0.7663025209242861
Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912,Reactome,2,91,1.32,2.17,-0.01,0.5029234678819411,"CDK5RAP2, NPHP1",0.7663025209242861
TGF-beta signaling pathway,KEGG,2,91,1.32,1.88,-0.01,0.5031407376405116,"GREM2, TGFB3",0.7663025209242861
mRNA surveillance pathway,KEGG,2,92,1.31,1.65,-0.02,0.5075570741064727,"ACIN1, NXT2",0.7663025209242861
Protein Localization R-HSA-9609507,Reactome,3,153,1.18,1.43,-0.02,0.5093439049147157,"EHHADH, FIS1, SEC61B",0.7663025209242861
Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,Reactome,3,156,1.16,6.24,-0.02,0.5094391760720244,"RPL11, RPL21, RPL26L1",0.7663025209242861
Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851,Reactome,3,156,1.16,4.08,-0.03,0.5116777487434776,"HCK, MC2R, PTH2R",0.7663025209242861
Nucleotide Excision Repair R-HSA-5696398,Reactome,2,94,1.28,3.03,-0.03,0.5116909991173366,"COPS3, POLR2E",0.7663025209242861
ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,Reactome,2,125,0.96,3.45,-0.03,0.5118458226787499,"MC2R, PTH2R",0.7663025209242861
Metabolism Of Nucleotides R-HSA-15869,Reactome,2,93,1.29,1.4,-0.03,0.5127319250394808,"ENTPD6, NUDT1",0.7663025209242861
Transport Of Small Molecules R-HSA-382551,Reactome,11,680,0.97,7.69,-0.03,0.5135517033542507,"ABCA10, ABCC6, APOC3, ATP6V1B2, CLCN3, LCN9, SLC28A1, SLC2A11, SLC44A5, SLC6A13, TRPM2",0.7663025209242861
Phase I - Functionalization Of Compounds R-HSA-211945,Reactome,2,94,1.28,2.24,-0.03,0.5135926980965478,"CYP2B6, FMO3",0.7663025209242861
SARS-CoV Infections R-HSA-9679506,Reactome,5,312,0.96,4.54,-0.04,0.515731457411452,"CNBP, DAD1, FUT8, NLRP12, PARP14",0.7663025209242861
Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,Reactome,3,159,1.13,4.83,-0.04,0.5162685576141472,"RPL11, RPL21, RPL26L1",0.7663025209242861
Spermatogenesis,Hallmark,2,124,0.97,1.02,-0.04,0.5172596994194554,"NPHP1, PRM2",0.7663025209242861
Estrogen Response Early,Hallmark,3,189,0.95,2.76,-0.05,0.5196153783079193,"KCNK15, MICB, SH3BP5",0.7663025209242861
AGE-RAGE signaling pathway in diabetic complications,KEGG,2,95,1.27,1.66,-0.05,0.519859779270824,"NOX1, TGFB3",0.7663025209242861
Purine metabolism,KEGG,2,126,0.95,1.73,-0.05,0.5201682319156056,"ALLC, ENTPD6",0.7663025209242861
Inflammatory mediator regulation of TRP channels,KEGG,2,96,1.25,2.04,-0.05,0.5214972835936262,"GNAQ, KNG1",0.7663025209242861
Ion Channel Transport R-HSA-983712,Reactome,3,161,1.12,3.99,-0.05,0.5219038443800473,"ATP6V1B2, CLCN3, TRPM2",0.7663025209242861
Aldosterone synthesis and secretion,KEGG,2,96,1.25,1.82,-0.06,0.5227924999433325,"GNAQ, MC2R",0.7663025209242861
rRNA Processing In Nucleus And Cytosol R-HSA-8868773,Reactome,3,165,1.09,6.35,-0.06,0.5235889514421617,"RPL11, RPL21, RPL26L1",0.7663025209242861
HIV Life Cycle R-HSA-162587,Reactome,2,130,0.93,3.51,-0.06,0.5236858736350983,"ELOA2, POLR2E",0.7663025209242861
Leishmania Infection R-HSA-9658195,Reactome,4,224,1.07,3.63,-0.06,0.5247356279675633,"HCK, MC2R, NOX1, PTH2R",0.7663025209242861
RNA transport,KEGG,3,159,1.13,1.81,-0.07,0.5265851432614572,"ACIN1, NXT2, TACC3",0.7663025209242861
Lipid and atherosclerosis,KEGG,3,189,0.95,1.41,-0.07,0.5274523384525043,"CYP2B6, MAP3K5, NOX1",0.7663025209242861
mTOR signaling pathway,KEGG,2,133,0.9,4.1,-0.07,0.5283504078908323,"ATP6V1B2, CASTOR2",0.7663025209242861
Tight junction,KEGG,3,162,1.11,2.65,-0.07,0.5293146424901659,"CD1A, MAP3K5, MYL9",0.7663025209242861
ABC-family Proteins Mediated Transport R-HSA-382556,Reactome,2,99,1.21,2.37,-0.07,0.5298600701244216,"ABCA10, ABCC6",0.7663025209242861
Cushing syndrome,KEGG,2,130,0.93,2.04,-0.08,0.5311009774580518,"GNAQ, MC2R",0.7663025209242861
Protein digestion and absorption,KEGG,2,100,1.2,2.34,-0.08,0.533285511220186,"CPA3, CPB1",0.7663025209242861
Neuroactive ligand-receptor interaction,KEGG,5,334,0.9,6.7,-0.09,0.5368861821052341,"GABRR3, KISS1R, KNG1, MC2R, PTH2R",0.7663025209242861
cGMP-PKG signaling pathway,KEGG,3,161,1.12,1.33,-0.1,0.5378577820875915,"GNAQ, KNG1, MYL9",0.7663025209242861
Biological Oxidations R-HSA-211859,Reactome,3,198,0.91,2.81,-0.1,0.5388529412033518,"CYP2B6, FMO3, MGST2",0.7663025209242861
