pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Condensation Of Prophase Chromosomes R-HSA-2299718,Reactome,5,41,7.33,2.53,2.94,0.001663694081008471,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.018228300365831944
Defective Pyroptosis R-HSA-9710421,Reactome,5,40,7.52,2.69,2.9,0.0018844846672072698,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.019266114628814023
Glucuronidation R-HSA-156588,Reactome,3,19,9.5,1.84,2.89,0.0019113208957156767,"UGT1A10, UGT3A1, UGT3A2",0.019266114628814023
Antigen processing and presentation,KEGG,6,55,6.56,2.91,2.84,0.00226058467612542,"CD74, CTSL, HLA-DPA1, HLA-DPB1, KLRC1, KLRC3",0.02108708838920359
Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565,Reactome,5,55,5.47,1.79,2.83,0.002343009821022621,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.02108708838920359
Meiotic Synapsis R-HSA-1221632,Reactome,5,55,5.47,1.79,2.83,0.002343009821022621,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.02108708838920359
Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,Reactome,5,49,6.14,2.18,2.79,0.002613003585607048,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.022706100123206074
DNA Double Strand Break Response R-HSA-5693606,Reactome,5,56,5.37,1.83,2.76,0.002879302176137075,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.024186138279551427
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,Reactome,5,58,5.18,1.79,2.72,0.0033066402335202023,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.02687978512409971
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of Keratinocytes R-HSA-8939242,Reactome,2,8,15.04,2.0,2.68,0.003725402673306733,"CTSL, CTSV",0.02933754605229052
B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924,Reactome,5,55,5.47,2.03,2.66,0.003958333719074815,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.02989003021763344
Meiotic Recombination R-HSA-912446,Reactome,5,51,5.9,2.29,2.65,0.0040327818547600675,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.02989003021763344
RNA Polymerase I Promoter Escape R-HSA-73772,Reactome,5,56,5.37,2.04,2.62,0.004425058585283185,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.031860421814038926
Aspirin ADME R-HSA-9749641,Reactome,4,36,6.68,2.17,2.57,0.0050461615453212426,"GLYATL1, SLC16A1, UGT3A1, UGT3A2",0.0353231308172487
RHO GTPases Activate PKNs R-HSA-5625740,Reactome,5,54,5.57,2.29,2.54,0.0055857246625761635,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.038043313918086304
Generation Of Second Messenger Molecules R-HSA-202433,Reactome,3,25,7.22,1.67,2.53,0.005760299979775468,"HLA-DPA1, HLA-DQB2, TARP",0.03819988407640574
